翻訳ID,キャラ名翻訳ID,投稿時刻,日本語,英語,中国語（簡体字）,韓国語,備考
,,,発生した未曾有の災害から、,"коллапса, уничтожившего Район 1984 Граккиса,",那场惨绝人寰的灾难发生以来，,미증유의 가스 폭발 재해가 일어난 지,
,,,本日で６周期が経過した。,крупнейшей катастрофы в истории Симбиота.,截至今日，已满六周期整。,오늘로 6주년이 되었다.,
,,, , , , ,
,,,当時の居住者のほぼ全員が命を落とし、,"Инцидент унёс жизни большинства его жителей, за исключением",事发后，该区几乎所有居民当场死亡，,"사고 당시 거주자 대부분이 목숨을 잃었으며,",
,,,生き残ったのは重体１名、軽傷１名のみと,лишь двоих выживших: одного в критическом состоянии и,仅剩1名幸存者重伤，1名轻伤，,"생존자도 중태 1명, 경상 1명 뿐인 공생체 사상",
,,,共生体史上最悪の崩落事故であるこの惨劇。,"другого, получившего лёгкие травмы.",可谓是共生体史上最为惨烈的一次坍塌事故。,최악의 붕괴 사고이자 참극이었다.,
,,, , , , ,
,,,激しい爆発により現場は完膚なきまでに,Ужасающие масштабы разрушений сделали,坍塌引发的剧烈爆炸令现场近乎面目全非，,"격렬한 폭발로 현장은 완전히 잿더미가 되었고,",
,,,破壊されており、共生当局の調査でも,практически невозможным для властей,共生当局虽立即着手对事故原因展开调查，,공생 당국도 조사에 나섰지만,
,,,原因解明には至らなかった。,расследование причины этой катастрофы.,最终却未有发现。,끝내 원인은 규명하지 못했다.,
,,, , , , ,
,,,Ｒ・カレルレンは当該居住区の放棄を,Р. Кареллен счёл этот район слишком опасным для,R·卡列伦已决定废弃该居住区，,해당 거주구를 포기하겠다는 R-카렐렌의,
,,,決定しており、現場の瓦礫は永久に,проникновения и приказал провести полную эвакуацию,现场的瓦砾恐将永远存留，,"결정에 따라, 이곳은 앞으로도 잔해와 함께",
,,,事故の名残を示し続けるだろう。,района. Его руины остаются нетронутыми по сей,成为此次事故沉痛的见证。,사고의 흔적을 영원히 간직할 것이다.,
,,,,день.,,,
pc58,＊,**:**,この居住区ってなに？,"офигеть… где это, чёрт возьми?",这什么啊？,이 거주구가 어딘데?,
,,,事故で全滅ってやばくね？,как взрыв мог стереть с лица земли ЦЕЛЫЙ,整区人死光也太惨了吧？,"사고로 전원 사망하다니, 위험한 곳 아냐?",
,,,,район???,,,
pc59,＊,**:**,1984区、知ってる,"мда, ты чё, не знаешь про район 1984?",1984区，我知道,1984 구역이라면 알지,
,,,いわゆる下層居住区だね,он же нижний район,就是所谓的下层居住区，贫民窟,소위 말하는 하층 거주구야,
,,,「許可外子」もうろつくようなスラムだよ,это были просто трущобы для нелегальных рожениц,“未许可儿童”满大街乱跑那种,허가 외 아이가 돌아다니는 슬럼가였지,
,,,人間スコア最底辺の奴らが集まってた地域,всё отребье с самыми низкими рейтингами жило,别的也都是人类评分最低档的家伙,"뭐, 인간 스코어가 가장 낮은 놈들이",
,,,まあ、そんなとこだから死人出るのは,"там, так что, ну ты понял…",哎，这种地方死那么多人也正常吧,모인 동네였으니 누가 죽어도,
,,,仕方ないと思うよ,"скатертью дорога, типа??? ржунимагу",,이상할 것 없는 곳이었어,
,,,Ｒすらろくにないらしいから,"я слышал, там почти даже не было никаких Р",听说那边连正经的R都没有几台,R조차 제대로 없었던 모양이더라,
,,,施設の管理ずさんだろうしね,"чтобы управлять районом, так что… всё сходится",起因八成就是设备老化啥的,시설물 관리 소홀이 원인이었겠지,
pc60,＊,**:**,許可外子？　こわ…,нелегальные роженицы? жесть какая,未许可儿童？恐怖……,허가 외 아이라고? 무서워라…,
,,,そういうとこにいるんだ…,"чсг, я даже не знал, что такое бывает",那种地方居然有啊……,저런 곳에서 잘도 사네……,
pc61,NEWSbot,**:**,学生の間で今、,Новое приложение «Интеллектуальный Подбор Партнёра,近来，,"현재 학생 사이에서 ""배우자 예상 앱""이",
,,,「割り当て相手予想アプリ」が人気だ。,по Совместимости» (PAIR) набирает популярность среди старше-,学生之间非常流行一款名叫“指派对象预测”的,인기를 얻고 있다.,
,,, ,классников. ,应用。 , ,
,,,個人端末にインストールすると、, , ,개인 단말기에 설치하면 앱이 독자적으로,
,,,独自に収集した統計データから,После установки приложения PAIR на ваш личный,只要把它下载到个人终端上，,수집한 통계 데이터를 기반으로,
,,,カレルレンによる結婚割り当て相手の,"терминал, Р. Кареллен будет использовать ваши личные",它就能根据自己收集的统计数据，,카렐렌이 지정하는 배우자의,
,,,「性格予想」や「容姿予想」が,данные для поиска наиболее подходящей вам пары из,为使用者生成将来由卡列伦指派的结婚对象的,"성격이나 ""외모"" 예상 결과를",
,,,閲覧可能になる。,базы доступных партнёров и отобразит прогноз,“性格预测”和“外貌预测”。,확인할 수 있다.,
,,, ,внешности и характера вашего будущего,, ,
,,,開発者は「人間スコアはもちろん、,партнёра., ,"앱 개발자는 ""배우자 예상 결과는",
,,,学業成績や遺伝的要素の他にも、, ,开发者表示，测试结果不仅仅参照人类评分，,인간 스코어를 포함하여 학업 성적이나,
,,,睡眠時間や性的アクティブさなど多様な因子が,"По словам разработчиков приложения, «Основные",测试者的学习成绩、遗传基因，包括睡眠时间，,"유전적인 요소 외에도 수면 시간,",
,,,割り当て結果に関わっているようです」と,"факторы, влияющие на подбор пары, — это",甚至性方面的需求都会纳入考量，,"성 개방성 등 다양한 요소를 확인한다""",
,,,コメント。,"человеческий балл, образование и",综合多方面因素得出最终的预测结果。,는 말과 함께,
,,,「毎日確認することで、目当てのあの人と,генетическая совместимость. Но даже ваш режим сна,,"""매일 확인하다 보면 마음에 둔 사람과",
,,,結婚できるかもしれません」,и уровень активности играют роль».,“每天小测一下，审视自我，没准就能梦想成真，,"결혼할 수도 있을 것""이라고 밝혔다.",
,,,,"«Если вы будете достаточно усердно пользоваться приложением,",跟你心仪的Ta结婚哦。”,,
,,,,"то, возможно, сможете заполучить партнёра своей",,,
,,,,мечты!»,,,
pc62,＊,**:**,カムパネルラさまと結婚する方法,"окей, так как мне закадрить Кампанеллу???",有无人教教怎样能跟康帕聂拉哥哥结婚\I[7],캄파넬라 님과 결혼하려면,
,,,おしえて\I[7],"КТО-НИБУДЬ, СКАЖИТЕ МНЕ, ПЛЗЗЗЗ",,어떻게 해야 할지도 알려 주세요\I[7],
pc63,＊,**:**,スコア上げろ,"повышай свой рейтинг, тупица",努力赚分,스코어나 올려,
pc64,＊,**:**,はい,"^^^да, так и есть",好的,넹,
pc65,＊,**:**,これやってるけど,"я пользуюсь приложением, но…",我玩了这个,써 보긴 했는데,
,,,結局、人間スコアが全てなんだって,"рейтинг — это всё, что имеет значение.",然后发现测试的尽头还是人类评分,결국 인간 스코어가 시작이자 끝이더라,
,,,わかるよね, рейтинг > всего,,,
,,,小細工しても無駄,все эти мелочи на самом деле ничего не значат,耍小聪明也没用,별 짓을 다 해봤지만 소용 없었어,
,,,割り当てってそういうこと,поэтому они и подбирают тебе партнёра,指派就是这样的东西,배우자의 기준은 그쪽이니까,
pc66,NEWSbot,**:**,R・カレルレンのコアフレームをハッキングした,Появилась новая информация относительно,日前，曾借助黑客手段入侵R·卡列伦核心框架的,R-카렐렌의 코어 프레임을 해킹한 혐의로,
,,,容疑で指名手配中のイエハトブ・スタイラス(36),"подозреваемого во взломе центрального компьютера Р. Кареллена,",通缉犯伊哈托夫·斯泰拉斯(36)相关最新情报,현재 수배 중인 예하토브 스타일러스(36)에,
,,,に関して新たな情報が明らかになった。,Ихатова Стайлуса (36 лет).,判明。,관한 새로운 소식을 입수하였다.,
,,, , ,, ,
,,,イエハトブの攻撃手法について,"Анализ кибербезопасности показал, что метод,",相关单位对伊哈托夫的攻击手法进行解析后发现，,"분석 결과, 예하토브 용의자의 해킹",
,,,解析を行った結果、1500年前に惑星,"который подозреваемый использовал для взлома центрального компьютера Р. Кареллена,",其使用的手法与500年前，法兰提亚星遭受黑客,수법은 500년 전 행성 플로란티아에서,
,,,フローランティアで発生したハッキング事件と,"идентичен технологии, использовавшейся",入侵时，罪犯使用的手法一致。,발생한 해킹 사건과 동일한 것으로,
,,,同じ手口が使われていたことを明らかにした。,более 500 лет назад во время схожего хакерского,,밝혀졌다.,
,,, ,инцидента во Флорантии., , ,
,,,イエハトブが古い記録から, ,R·卡列伦目前假定伊哈托夫学习了陈年旧案的,예하토브가 오래된 기록을 사용해,
,,,手法を学んだとして、,"Поскольку предполагалось, что Стайлус изучил свои",犯罪手法，,해당 수법을 익혔다는 것을 파악한,
,,,R・カレルレンは対応する緊急パッチを,"методы по старым записям, Р. Кареллен выпустил",已将紧急修复补丁派发给所有相关部门，,R-카렐렌은 관계자에게 이에 대응하는,
,,,関係者に配布。警戒を呼びかけている。,экстренный патч для усиления безопасности,并呼吁各部署提高警惕。,긴급 패치 배포와 함께 주의를 당부하였다.,
,,, ,затронутых систем. Этим делом занимаются, , ,
,,,共生体管内では、特殊部隊「紅友隊」が,"с особой осторожностью, и специальный Отдел Исследований",共生体辖内特殊部队“红友队”正追查其行踪。,"공생체 관내 특수부대 ""홍우대""는 지금도",
,,,イエハトブの身柄を追っている。,и Правоприменения (ОИП) Симбиота был,,예하토브의 신병을 계속 추적 중이다.,
,,,,направлен на поиски подозреваемого.,,,
pc67,ザネリ,**:**,@ジョバンニ,@Джованни,@乔班尼,@조반니,
,,,ジョバンニパパの記事じゃん！,"йоооооо, смотри, это твой батя",这不就你爸嘛！,"조반니, 네 아빠 나왔다!",
,,,早く逮捕されねーかなー,"надеюсь, этого мудака скоро поймают",能不能请他早点落网啊？,빨리 잡혀야 할텐데~,
pc68,＊,**:**,@ジョバンニ,@Джованни,＠乔班尼,@조반니,
,,,紅友隊に情報全部吐きに行けよ,"Ты лучше расскажи ОИП всё, что знаешь.",还不去跟红友队坦白从宽！,홍우대에 가서 전부 부는 게 좋을 걸,
,,,何か知ってんだろ？,Если только ты не пытаешься что-то скрыть…,别说你不知道你爹在哪,아는 거 있지?,
pc69,NEWSbot,**:**,Ｒ・カレルレンは、銀河学園船内,Р. Кареллен внедрил обновление для,R·卡列伦宣布将对银河学园舰内配餐系统进行,R-카렐렌이 은하학교선 내,
,,,食事配給システムのアップデートを発表した。,"кулинарной системы Гимназии, включающее",更新。,학식 배급 시스템 업데이트를 발표했다.,
,,, ,расширенный функционал заказа блюд. Предыдущая, , ,
,,,今回強化されたのはメニューのリクエスト機能。,версия позволяла студентам выбирать,本次预定升级的模块，为“自由点单”功能。,"이번 업데이트는 메뉴 요청 기능으로,",
,,,従来は提案されたメニューの中から選択する,"из стандартного меню, но теперь она оснащена",旧版仅支持使用者选择系统提供的固定选项，,이전에는 제안 메뉴 중에서 선택할 수,
,,,だけだったが、今回のアップデートでは,"генеративной функцией, способной создавать новые, оригинальные",但在本次更新之后，,"있었지만, 이번 업데이트로",
,,,食べたいものを自由にリクエストできるように,"рецепты, адаптированные для обеспечения каждому студенту более",就可以自由点选想吃的任何食物了。,먹고 싶은 음식을 자유롭게 요청할 수,
,,,なった。,приятного опыта питания.,,있게 되었다.,
,,,リクエスト可能な回数は人間スコアに応じて, ,“自由点单”功能的可用次数，将根据使用者的,요청 횟수는 인간 스코어를 기준으로 정해진다.,
,,,配分される。また、栄養価や栄養バランスは,"Количество блюд, которое может заказать студент,",评分来分配。此外，系统还将适当添加副食，,또한 영양 성분과 영양 밸런스는,
,,,付加食品で適宜調節されるそうだ。,определяется его человеческим рейтингом. Все блюда будут,以调节餐食整体的营养价值，确保膳食均衡。,부가 식품으로 적절하게 조절할 예정이다.,
,,, ,искусственно сбалансированы по содержанию основных, , ,
,,,Ｒ・カレルレンは、今回の変更について,питательных веществ.,关于此次更新，R·卡列伦表示,R-카렐렌은 이번 변경에 대해,
,,,「各船内の食料資源に余裕ができたため、, ,“鉴于当前各舰粮食资源储备趋于平稳，,"각 선내 식량 자원에 여유가 생겨,",
,,,もっと皆さまに寄り添うことが,Р. Кареллен опубликовал следующее,特做出此次改动，,여러분과 더욱 가까워질 수 있게,
,,,できるようになりました」とのコメント。,заявление: «В связи с избытком продовольственных запасов,以期更好地满足各位的饮食需求。”,"되었습니다""라고 밝혔다.",
,,,,"во всём Симбиоте, я ввёл это",,,
,,,,"изменение, чтобы дать студентам свободу и",,,
,,,,средства к существованию для обеспечения их будущего».,,,
pc70,＊,**:**,やったー！！！！,ВПЕРЁЁЁЁЁД,好耶！！！！！！,신난다!!!!,
pc71,＊,**:**,流石カレルレン,Кареллен база,不愧是卡列伦,역시 카렐렌이야!,
,,,ありがとう！,"люблю тебя, целую <3",谢谢你！,고마워!,
pc72,＊,**:**,私のスコアで,"я хз, хватит ли моего человеческого балла…",不知道我的分数能用几次……,지금 내 스코어로는,
,,,何回リクエストできるかな……,"надеюсь, нам перепадёт хоть пара заказов «для бедных»",,몇 번 신청할 수 있으려나……,
pc73,NEWSbot,**:**,本日早朝、,Сегодня рано утром подразделение специального назначения,本日清晨，,"오늘 새벽,",
,,,特殊部隊「紅友隊」第３基地の管理システムが,"ОИП подверглось атаке хакерской группировки, известной как",特殊部队“红友队”第三基地管理系统,"특수부대 ""홍우대"" 제3기지 관리 시스템이",
,,,「ゼロデイ」を名乗るハッカー集団に,«Нулевой День». Целью атаки стала,遭到自称“零日”的黑客团伙攻击。,Zero Day라 자칭하는 해커 집단의 공격을,
,,,攻撃された。,система обслуживания Базы ОИП 3., ,받았다.,
,,, , ,, ,
,,,攻撃の内容は、隊員の起床アラーム音を,Атакующие взломали утреннюю систему оповещения,该团伙使用人气动画角色“奶油霜戴维”的声线，,이들은 대원 기상 알람 소리를,
,,,人気キャラクター「デイヴ・クリームマン」の,"базы, чтобы зацикленно воспроизводить голос",录制一段称呼队员为“卡列伦走狗”“R的奴隶”,"인기 애니메이션 캐릭터 ""데이브 크림맨""의",
,,,声に置き換えるもの。,"популярного мультперсонажа Дэйва,",等带有侮辱性质的词汇及人身攻击的内容，,"목소리로 바꾸었으며,",
,,,隊員を「カレルレンの犬」や「Ｒの奴隷」と,"повторяющего подстрекательские лозунги, такие как: «Вы —",后使用该音频替换了受害队员的起床闹钟铃声，,"대원을 향해 ""카렐렌의 개"", ""R의 노예""라",
,,,呼び、侮辱する内容をリピート再生した。,рабы Кареллена!» и «Кто кому служит?»,并强制循环播放。,부르는 등 모욕적인 언행을 반복했다.,
,,, , , , ,
,,,犯行を行ったハッカー集団「ゼロデイ」は,«Нулевой День» печально известен своей радикальной анти-,过去，该团伙也曾有数次打着“反卡列伦”旗号,"범행을 저지른 ""Zero Day""는 ""반 카렐렌""",
,,,「反カレルレン」を掲げ,"карелленовской позицией, и считается, что группировка",发动网络攻击的前科。,"이라는 구호 아래 모인 집단으로,",
,,,過去にもサイバー攻撃を繰り返している。,организовала многочисленные кибератаки в, ,전에도 사이버 공격을 감행한 전력이 있다.,
,,, ,прошлом. В дальнейшем Р. Кареллен планирует,, ,
,,,R・カレルレンは共生体公的機関の,усилить существующие меры кибербезопасности,鉴于此次事件，R·卡列伦预计逐步加强共生体,R-카렐렌은 공생체 내 각 공기관의,
,,,セキュリティを強化していく予定だ。,в ответ на эту атаку.,各官方机构的安保措施。,보안을 강화할 예정이다.,
pc74,エーミール,**:**,このチャンネルでは僕が寮内を,Всем привет\! На этом канале я буду показывать,这个频道将由我带大家参观咱们的宿舍！,여기는 내가 직접 기숙사를,
,,,紹介していくぞ！まずは廊下だ！,нашу замечательную общагу\! Начнём с коридора\!,第一站是走廊！,소개할 채널이다! 우선 복도다!,
,,,皆が一番行き来する場所だろう！,Это место вы будете видеть чаще всего\!,这是大家平时来往最频繁的地方吧！,학생 모두가 가장 많이 오가는 곳이지!,
pc75,カムパネルラ担,**:**,カムパネルラの割り当て相手って,"народ, если кто знает, вы ОБЯЗАНЫ РАСКОЛОТЬСЯ",话说康帕聂拉的指派对象公布了没啊？,"캄파넬라의 배우자 말인데,",
,,,もう公表されてんの？,уже объявили назначенного партнёра Кампанеллы,,벌써 발표했으려나?,
,,,年齢的にそろそろだよね,"или нет? он как раз подходящего возраста, да?",他快到年龄了吧,슬슬 그럴 나이인데 말이야.,
pc76,＊＠ネルさま,**:**,されてない　どんな人なんだろ,"пока нет. интересно, что за человек это будет",还没 不知道是什么人,"아직 발표하지 않았어, 누가 되려나?",
,,,いいなー　私もカムパネルラの,"? может, у меня есть надежда.",羡慕死了,좋겠다~ 나도 캄파넬라의,
,,,割り当てだったらなあ,"мечтать-то не вредно, да???",要是我能指给他就好了,배우자가 되고 싶어~,
,,,この前、割り当て告知きたけど,мне пришло уведомление о моём некоторое время назад,之前我的指派结果倒是来了,전에 배우자 고지가 왔는데,
,,,普通の人だったよ…,но это был просто какой-то парень… тьфу.,但对方……就很普的一个……,평범한 사람이었어…,
pc77,譲）エーミール　求）カムパネルラ,**:**,表彰されたらしいね！,"я слышал(а), Кампанелла получил награду\!",他好像受表彰啦！,상 받는 장면 같아!,
,,,画像の顔よすぎ,"бллл, он такой горячий на этой фотке",新闻配图是什么阳光美照 我晕了,사진 잘 나왔네,
,,,マジで一生推せる,"у меня нет выбора, кроме как стэнить",真的能推一辈子,평생 밀어줘야지,
pc78,カメラマン・ジョニー,**:**,新作です！！,"ЗАЦЕНИТЕ, НАРОД",新作来喽！！,따끈한 새 사진이야!,
pc79,＊,**:**,ジョニーありがとーーーー！！,"СПС ОГРОМНОЕ, ДЖОННИ\!\!\! ТЫ ЛУЧШИЙ",谢谢你乔尼――――！！,"고마워, 조니~!!",
,,,神すぎ…愛してる,омг… я даже не могу\!\!\!,太神了吧……永爱,짱이야… 사랑스러워,
pc80,＊,**:**,寝起きかわ〜\I[7],"мииило, он тааакой сонный\!\!",睡不醒的样子好软萌啊～\I[7],잠든 모습 귀여워\I[7],
,,,ありがとうありがとう…,спасибо спасибо спасибо спасибо,谢谢……谢谢……,ㄳㄳ……,
pc81,＊,**:**,ネル、いつも寮で一人だよね,"кто-нибудь замечал, что Нелла всегда один?",我们聂聂在宿舍总是一个人啊,"넬 말이야, 기숙사에서 늘 혼자 있던데",
,,,ルームメイトいないのかな？,…разве у него нет соседа по комнате?,他没有室友吗？,룸메이트가 없나?,
,,,スコア高いから一人部屋とか？？,"может, получаешь свою комнату, когда твой рейтинг",高分学生都住单人间之类的？？,스코어가 높으니 1인실을 쓰는 게 아닐까??,
,,,,БОЖЕСТВЕННЫЙ,,,
pc82,＊,**:**,エミ会長と同室なんじゃなかった？,разве президент Эми не его соседушка??,我记得他不是跟埃米会长同屋吗？,에밀 회장과 같은 방을 쓰는 게 아니었어?,
pc83,＊,**:**,ネルさま、,это правда?? рейтинг нашего Нелли-Велли,听说聂殿分又涨了，,"넬라 님 말인데,",
,,,スコアまた上がったって本当？,опять вырос???,是真的吗？,스코어가 또 올랐다는 게 사실이야?,
,,,どんどん学内最高スコア記録,сколько уже можно? он точно побил школьный,这个人真的每时每刻都在刷新校纪录……,학교 내 스코어 기록을,
,,,更新してるよね…,"рекорд уже раз двенадцать, типа",,점점 경신 중이시네…,
,,,ほんとにやばすぎ…好き…,"боже, что бы я только не позволила этому парню сделать со мной….",真的太厉害了……好喜欢……,정말 대단해… 멋져…,
pc84,カムパネルラ,**:**,新作グッズ販売中〜,НОВЫЙ МЕРЧ ПОДЪЕХАЛ,新谷上架啦～,신작 상품 판매 중이야~,
,,,よろしくね,"спс, народ",各位多关照,잘 부탁해,
pc85,リア恋地雷,**:**,！このURLを他のチャンネルに,\!\!\!ДЕРЖИТЕ ЭТОТ URL ВНУТРИ КАНАЛА\!\!\!,！以下链接请勿转出！,!이 URL을 다른 채널에,
,,,貼らないでください,НЕ ДЕЛИТЕСЬ ССЫЛКОЙ,,붙여넣지 마시오!,
,,,！荒らしは無視！,\!\!\!НЕ КОРМИТЕ ТРОЛЛЕЙ\!\!\!,！喷子一律无视！,분탕은 무시함!,
,,,karellen://aimovie.com/watch=dscko!3,karellen://aimovie.com/watch=dscko\!3,karellen://aimovie.com/watch=dscko!3,karellen://aimovie.com/watch=dscko!3,
pc242,,,【LIVE】カムパネルラさま,[LIVE] КАМПАНЕЛЛА КАМ,【LIVE】康帕聂拉殿,[LIVE] 캄파넬라 님,
pc243,,,こっち見て～,"ЗАМЕТЬ МЕНЯ, СЕМПАЙ",看这边～,이쪽을 봐 주세요~,
,,,盗撮定期,"его, должно быть, столько раз фоткают исподтишка",今日偷拍,정기 도촬,
,,,この画質でも顔がいい,Даже картофельное качество не делает его менее красивым,高糊都挡不住他的美,이 화질로 봐도 멋져,
,,,最高傑作か？？？？？,как он может быть буквально НАСТОЛЬКО идеальным???????,什么传世名画？？？？？,최고 걸작 아님???,
,,,結婚したすぎる,"я так сильно хочу за него замуж, ну позязяяяя",打扰了，我老公,완전 부부네,
,,,↑は？,^ братан,↑哈喽？,↑뭐래?,
,,,これにはカレルレンも,"Готовься, Кареллен тебя разнесёт",卡列伦看了都摇头,카렐렌도 이걸 보면,
,,,苦笑い,ржунимагу просто пиздец,笑了,어이없겠다,
,,,鏡見てから言ったら？,"Может, сначала в зеркало посмотришься",怎么不拿镜子照照自己,거울이나 보지 그래?,
pc244,,,この画質でも顔がいい,Даже картофельное качество не делает его менее красивым,高糊都挡不住他的美,이 화질로 봐도 멋져,
,,,最高傑作か？？？？？,как он может быть буквально НАСТОЛЬКО идеальным???????,什么传世名画？？？？？,최고 걸작 아님???,
,,,結婚したすぎる,"я так сильно хочу за него замуж, ну позязяяяя",打扰了，我老公,완전 부부네,
,,,↑は？,^ братан,↑哈喽？,↑뭐래?,
,,,これにはカレルレンも,"Готовься, Кареллен тебя разнесёт",卡列伦看了都摇头,카렐렌도 이걸 보면,
,,,苦笑い,ржунимагу просто пиздец,笑了,어이없겠다,
,,,鏡見てから言ったら？,"Может, сначала в зеркало посмотришься",怎么不拿镜子照照自己,거울이나 보지 그래?,
,,,配信見ながらごはん,Этот стрим — моя маленькая,看着他的脸我能下三碗饭,방송을 보며,
,,,食べてます！,радость за ужином,电子榨菜了,식사 중이야!,
pc245,,,これにはカレルレンも,"Готовься, Кареллен тебя разнесёт",卡列伦看了都摇头,카렐렌도 이걸 보면,
,,,苦笑い,ржунимагу просто пиздец,笑了,어이없겠다,
,,,鏡見てから言ったら？,"Может, сначала в зеркало посмотришься",怎么不拿镜子照照自己,거울이나 보지 그래?,
,,,配信見ながらごはん,Этот стрим — моя маленькая,看着他的脸我能下三碗饭,방송을 보며,
,,,食べてます！,радость за ужином,电子榨菜了,식사 중이야!,
,,,カムパネルラさまが,"когда мне херово, я напоминаю себе",想想康殿这样的人,캄파넬라 님이 나와,
,,,自分と同じ銀河に存在,"о том, что я родился(ась) в той же",跟本人活在同一个银河,같은 은하에 존재하는,
,,,してる事実だけが生き,"галактике и эпохе, что и Кампанелла…",刹那间仿佛人生又有了,사실이 내게는 유일한,
,,,る希望・・・・,"может, бог всё-таки есть",希望……,희망이야……,
pc246,,,カムパネルラさまが,"когда мне херово, я напоминаю себе",想想康殿这样的人,캄파넬라 님이 나와,
,,,自分と同じ銀河に存在,"о том, что я родился(ась) в той же",跟本人活在同一个银河,같은 은하에 존재하는,
,,,してる事実だけが生き,"галактике и эпохе, что и Кампанелла…",刹那间仿佛人生又有了,사실이 내게는 유일한,
,,,る希望・・・・,"может, бог всё-таки есть",希望……,희망이야……,
,,,！！！！！！！？,???!?!?!??!!?,！！！！！！！？,!!!!!!?,
,,,は？？？？？,СТОЯТЬ,哈？？？？？,응?????,
,,,こっちみた！！！れ,"ОМГ, ОН ПОСМОТРЕЛ НА НАС",刚刚他看过来了！！！1,이쪽을 보셨어!!!엉,
,,,まっっって,СТОЙЙЙЙЙЙЙЙЙЙЙ,不是？？等下,잠까아아안,
,,,まって,"ПИЗДЕЦ, ПОМОГИТЕ",等？？？,잠깐만,
pc247,,,！！！！！！！？,???!?!?!??!!?,！！！！！！！？,!!!!!!?,
,,,は？？？？？,СТОЯТЬ,哈？？？？？,응?????,
,,,こっちみた！！！れ,"ОМГ, ОН ПОСМОТРЕЛ НА НАС",刚刚他看过来了！！！1,이쪽을 보셨어!!!엉,
,,,まって,"ПИЗДЕЦ, ПОМОГИТЕ",等？？？,잠깐만,
,,,まっっって,СТОЙЙЙЙЙЙЙЙЙЙЙ,不是？？等下,잠까아아안,
,,,聲（こえ）出た,Я БУКВАЛЬНО ОРУ,大声鸡叫,목소리 나왔어,
,,,むりすぎ,"ору, плачу, блюю",我不行了,더는 못 버텨,
,,,あ,омг,啊,아,
,,,＋死＋,Я УМЕРЛА ВСЁ ПОКА,＋安详去世＋,+주금+,
pc248,,,こっちみた！！！れ,"ОМГ, ОН ПОСМОТРЕЛ НА НАС",刚刚他看过来了！！！1,이쪽을 보셨어!!!잠,
,,,まって,"ПИЗДЕЦ, ПОМОГИТЕ",等？？？,잠깐만,
,,,まっっって,СТОЙЙЙЙЙЙЙЙЙЙЙ,不是？？等下,잠까아아안,
,,,聲（こえ）出た,Я БУКВАЛЬНО ОРУ,大声鸡叫,목소리 나왔어,
,,,むりすぎ,"ору, плачу, блюю",我不行了,더는 못 버텨,
,,,あ,омг,啊,아,
,,,＋死＋,Я УМЕРЛА ВСЁ ПОКА,＋安详去世＋,+주금+,
,,,突然のファンサは心臓,Я ЩАС НАХУЙ СДОХНУ,哎唷不要忽然饭撒好吗,갑자기 서비스를 날리다니,
,,,止まるから待って？？,"ПОЖАЛУЙСТААА, У МЕНЯ СЕЙЧАС ИНФАРКТ БУДЕТ",心脏受不了啊？？,심장 멎을 것 같거든??,
pc249,,,まって,"ПИЗДЕЦ, ПОМОГИТЕ",等？？？,잠깐만,
,,,まっっって,СТОЙЙЙЙЙЙЙЙЙЙЙ,不是？？等下,잠까아아안,
,,,聲（こえ）出た,Я БУКВАЛЬНО ОРУ,大声鸡叫,목소리 나왔어,
,,,むりすぎ,"ору, плачу, блюю",我不行了,더는 못 버텨,
,,,あ,омг,啊,아,
,,,＋死＋,Я УМЕРЛА ВСЁ ПОКА,＋安详去世＋,+주금+,
,,,突然のファンサは心臓,Я ЩАС НАХУЙ СДОХНУ,哎唷不要忽然饭撒好吗,갑자기 서비스를 날리다니,
,,,止まるから待って？？,"ПОЖАЛУЙСТААА, У МЕНЯ СЕЙЧАС ИНФАРКТ БУДЕТ",心脏受不了啊？？,심장 멎을 것 같거든??,
,,,たすけて,ПОМОГИТЕЕЕЕЕ,救,살려줘,
pc250,,,顔がいい・・・,Он такой горячий…,好完美一张脸….,잘 생겼어……,
,,,こんなん銀河級だろ,Он сияет ярче галактики,全银河都美哭了,이게 은하급 외모지,
,,,マジですき,я люблю его ппц как сильно,爱死了真的,짱 좋아,
,,,ああ～～～～～～～～,УГХХХХХХХХХХ,啊～～～～～～～～～,아아~~~~~~,
,,,推しと推しが会話してる,мои два мальчика-зайки общаютсяяяя,我推在和我推说话,최애끼리 대화 중이네,
,,,すきすきすきすき,"Я ЛЮБЛЮ ВАС, РЕБЯТА, УГХХХХХХ",好萌好萌好萌好萌,좋다 좋아 짱 좋다,
,,,配信者さんいつもありが,СТРИМЕР СТОЛЬКО ДЛЯ НАС ДЕЛАЕТ,主播我每天吊命就靠你,스트리머 님,
,,,とうございます！！！！,Я ВАМ ЖИЗНЬЮ ОБЯЗАН(А),了！！！！！,늘 고마워요!!!!,
pc251,,,マジですき,я их так сильно люблююю,爱死了真的,짱 좋아,
,,,ああ～～～～～～～～,УГХХХХХХХХХХ,啊～～～～～～～～～,아아~~~~~~,
,,,推しと推しが会話してる,мои два мальчика-зайки общаютсяяяя,我推在和我推说话,최애끼리 대화 중이네,
,,,すきすきすきすき,"Я ЛЮБЛЮ ВАС, РЕБЯТА, УГХХХХХХ",好萌好萌好萌好萌,좋다 좋아 짱 좋다,
,,,配信者さんいつもありが,СТРИМЕР СТОЛЬКО ДЛЯ НАС ДЕЛАЕТ,主播我每天吊命就靠你,스트리머 님,
