翻訳ID,日本語,英語,中国語（簡体字）,韓国語,備考
,「Ｒ・カレルレン」は、人類の生存圏を統一し、,человечество было объединено под,R·卡列伦统一了人类的生存圈，,R-카렐렌은 인류 생존권을 통합하고,
,その場所を「カレルレニア共生体」と名付けた。,управлением R. Кареллен и названо,并将它命名为“卡列伦尼亚共生体”。,"이를 ""카렐레니아 공생체""라 명명했죠.",
, ,Карелленским Симбиотом., , ,
hi0100,これが「宇宙暦」――,Так началась Галактическая Эра —,这一举动，宣告了“宇宙历”——,"이것이 ""우주력""……",
,《カレルレン紀元》のはじまりだ。,и начало Эпохи Кареллен.,“卡列伦纪元”的开始。,<카렐렌 기원>의 시초입니다.,
hi0101,ちなみに、カレルレニア共生体では,В Карелленском Симбиоте буквы,另外，卡列伦尼亚共生体内部，,"여담으로, 카렐레니아 공생체는",
,カレルレン以前のことをＢＫ（紀元前）、,BK обозначают годы до пришествия,把卡列伦之前的时代称为BK(纪元前)，,"카렐렌 이전 기록을 BK(기원전),",
,カレルレン以後をＡＥ（紀元後）と呼ぶ。,"Кареллен, в то время",之后则是叫AE(纪元后)。,카렐렌 이후 기록을 AE(기원후)라 불렀죠.,
, ,как наша текущая эра - AE., , ,
hi0102,それぞれ、何の略か。,На самом деле это аббревиатуры!,这两个说法分别是什么词组的缩写呢？,무슨 약자일까요?,
,わかる人！,"Кто-нибудь знает, что они означают?",哪位同学知道呀？,아는 사람!,
hi0103,知ってる。「before Karellen」と,"Это легко. BK - это ""Before Karellen"",",不就是“before Karellen”，,"당연히 ""before Karellen"",",
,「anno Evolutionis」だろ。,"а AE - ""anno Evolutionis"", верно?",和“anno Evolutionis”嘛。,"그리고 ""Anno Evolutionis""지.",
ho01032,「地球語」だっけ。意味は、たしか……\.\.,"Это на земном означало, эм…\.\.",这好像是“地球语”吧。意思是……\.\.,지구어였던가? 뜻은 분명……\.\.,
,……\.忘れたけど。,Ну…\. Последнюю часть я забыл.,……\.忘记了。,……\.잊어버렸지만.,
hi0104,正解！　さすがザネリだ。,"Очень хорошо, Занелли! Верно.",回答正确！札内利同学真棒。,"정답입니다! 자넬리, 대단하네요.",
,人間スコア＋１点！,Я добавлю плюс к твоему,奖励1点人类评分！,인간 스코어 1점 드립니다!,
, ,человеческому баллу., , ,
hi0105,っしゃ、＋１点！,Юху! Ещё один балл в копилку.,好耶！加一分！,"좋아, 1점 벌었다!",
,これで今週も俺がトップだな！,И это снова выводит меня на,看来这周也是我第一了啊！,이번 주도 내가 1등이야!,
, ,первое место на этой неделе!, , ,
hi0106,やるじゃん、ザネリ。,"Отлично, Занелли! Как обычно.",厉害啊，札内利。,"제법인데, 자넬리.",
hi0106a,はいはい、おめでとう。,"Да, да. Поздравляю.",好啦，恭喜恭喜。,"네, 네, 축하드립니다.",
,……ま、ともかく……,"Итак, как я говорил…",……那么，总之……,"그럼, 계속해서……",
hi0107,＂カレルレン以前＂の,В эпоху Before Karellen человеческое,在我们的星系，,"카렐렌 이전,",
,この星系で――,общество выглядело совсем иначе.,进入“卡列伦时代”前——,이 성계에서……,
hi0108,かつて人間は、それぞれ独立した「国家」,"Они жили на разрозненных территориях,",那时的人类们，,"인류는 한때 ""국가""라는",
,というものに住んでいた。,"известных как ""нации"".",分别居住在各个独立的“国家”里。,독립체 안에서 생활했습니다.,
hi0109,こっか……,"Нации, да…?",国家……,국가라……,
hi0110,モーリアン・ドリーム共和国。,Двумя из них были Моллианская,莫莉安梦幻共和国，,모리안 드림 공화국.,
,フローランティア帝国……,Республика и Флорантийская Империя.,法兰提亚帝国……,플로란티아 제국……,
hi0111,現在は「共生体」の一部として,Хотя сейчас они объединены под властью,尽管如今已经纳入卡列伦治下，,"현재 이들 국가는 ""공생체""의 일부로",
,カレルレンの支配下におかれている,"Кареллен как часть Симбиота, планеты",成为“共生体”的一部分，,카렐렌의 지배하에 있는 행성 중에도,
,惑星の中にも、当時の文化を残す場所がある。,всё ещё сохраняют остатки своих,但某些地区仍然保留着当时的文化。,당시 문화를 보존한 곳이 있지요.,
, ,старых культур., , ,
hi0112,\C[1]（昔は＂国家＂ごとに,"\C[1](Значит, в прошлом у каждой ""нации""",\C[1]（也就是说，从前的每个“国家”，,"\C[1](예전에는 ""국가""마다",
,　違った文化があったってことか……？,была своя уникальная культура…?,都有自己不同的文化……？,다른 문화가 있었다고……?,
,　ちょっと想像つかないな）,Ого. Даже представить трудно.),有点难想象那是什么样子）,전혀 상상이 되지 않는걸),
hi0113,さて。\.,"Ну что ж. Учитывая эту историю,\.",那么，学习了这段历史之后，\.,그럼.\.,
,そんな歴史をふまえて、質問だ。\.\.,время для следующего вопроса.\.\.,我要向大家提问了。\.\.,이번에는 역사에 관한 질문입니다.\.\.,
,ジョバンニ！,Джованни!,乔班尼！,조반니!,
hi0114,え！　……ぼ、ぼく？,А?! Я-Я?,咦！……我、我吗？,"엑! ……아, 나?",
hi0115,現在、市民ひとりあたりの,Какая из всех обитаемых планет,目前——,현재 시민 1인당,
,人間スコアがもっとも高い,в настоящее время обладает,民众平均人类评分最高的星球，,인간 스코어가 가장 높은,
,惑星はどこでしょう？,самым высоким человеческим,是哪一颗呢？请回答！,행성은 어디일까요?,
, ,баллом на душу населения?, , ,
hi0116,え、あ……？,"Э-Эм, ну…",诶？啊……？,"잠깐, 뭐……?",
,\C[1]（わ、分からない……）\.\.\^,\C[1](О нет… Понятия не имею.),\C[1]（我、我不知道……）\.\.\^,"\C[1](그, 그건 모르는데……)",
hi0117,\C[1]モーリアン,Моллия,\C[1]莫莉安,모리안,
hi0118,\C[1]フローランティア,Флорантия,\C[1]法兰提亚,플로란티아,
hi0119,\C[1]ハーシアン,Хэртия,\C[1]哈斯,하시안,
hi0120,はい、,"Можно я, Учитель!",我知道，,정답.,
,フローランティア帝国！,Это Флорантийская Империя!,是法兰提亚帝国！,플로란티아 제국이야!,
hi0121,あ、ちょっと……！,"Э-Эй, подожди!",啊，喂……！,"앗, 잠깐만……!",
,\C[1]（いま、答えようと……）,\C[1](Я как раз собирался ответить…),\C[1]（我正想回答呢……）,\C[1](지금 말하려고 했는데…),
hi0122,残念！　不正解。,"Прости, но это неправильно.",可惜！答错了。,아쉽게도 틀렸어요!,
,正解は、惑星「ストス」！,Правильный ответ - Граккис Прайм!,正确答案是沙拓斯星！,"정답은 ""스토스"" 행성이죠!",
hi0123,あ、くそ。そっちか！,"Ах, да. Чёрт…",哦，对啊，可恶！,"아. 젠장, 거기였나!",
hi0124,惜しかったね、ザネリ。,"Но ты был близок, Занелли.",这次很可惜呢，札内利。,"아쉽네요, 자넬리.",
,フローランティアは第２位だ。,Флорантия на втором месте.,法兰提亚是第二名哦。,플로란티아는 2등이에요.,
hi0125,第２位……\.\.\.,"Второе место, да…?",第二名……,2등……,
,あ〜、そっかぁ。,"А, теперь понял. Это потому что баллы",啊～想起来了。,"아, 그렇구나.",
,スコア統計は最近更新されたから〜。,недавно обновились! Я должен был знать.,评分榜前不久才更新过一次～,최근 스코어 통계가 갱신되었지.,
hi0126,＂R＂のくせにひっかけ問題なんて、,"Ты может и R, но определённо",戴维～你只是一个“R”，居然还会出陷阱题，,"R 주제에 함정 문제를 내다니,",
,やるじゃん。デイヴ。,"тот ещё хитрец, Дэйв.",有两下子啊。,"제법인데, 데이브.",
hi0127,\C[1]（……\.\.\.,\C[1](…\.\.,\C[1]（……\.\.\.,\C[1](……\.\.\.,
,知らないよ）,Я ничего этого не знал.),谁知道啊）,난 몰랐는데),
hi0128,そう。惑星ストスでは、,"Действительно, шесть лет назад",没错，六年前，,"네, 스토스 행성은 6년 전,",
,６年前に1984地区で崩落事故が起き、,злополучный обвал унёс жизни всех,沙拓斯星1984地区发生坍塌事故，,1984지구에서 일어난 붕괴 사고로,
,住民が全員死ぬという事件があった。,жителей Граккиса из Района 1984.,造成该地区所有居民死亡。,주민 전원이 사망한 사건이 있었습니다.,
hi0129,1984地区――\.\.\.,"Район 1984, также известный как",而住在1984号地区——,"1984지구, 통칭 ""하층 거주구""",
,通称「下層居住区」の住民は、,"Нижний Район, был домом для тех,",统称“下层居住区”的居民们，,주민은 인간 스코어 최저치를,
,人間スコアが最底辺の人達ばかりだったから……,у кого были самые низкие,无一例外都是人类评分最低档……,밑도는 사람들 뿐이었죠……,
, ,человеческие баллы., , ,
hi0130,皮肉なことに、この年以降、,"По иронии судьбы, эта катастрофа",虽然有点讽刺，但从这年之后，,"아이러니하게도, 이 사건 이후",
,ストスの平均人間スコアが,также привела к резкому взлёту среднего,沙拓斯的平均人类评分就大幅提升了。,스토스의 평균 인간 스코어는,
,大幅に上がったんだ。,человеческого балла Граккиса,,크게 올라갔습니다.,
, ,в следующем году., , ,
ho01302,下層居住区……\.\.\.って。\.もしかして。\!,Нижний Район…\.\.\. Что-то знакомое.\!,下层居住区……\.\.\.啊，\.想起来了……\!,"하층 거주구……\.\.\.라, \.설마…\!",
,あれだっけ？\.\.　ジョバンニくんが,Хмм…\.\. Почему это звучит так знакомо…?,是不是那边啊？\.\.就，乔班尼同学，,거기 아니야? \.\.조반니가,
,ママと住んでたっていう……,"Охохо, тооочно…\.\. Теперь я вспомнил.",以前跟他妈妈一起住的地方……,엄마와 함께 살았다던……,
ho01303,ああ～。\.\.,"А, да...",哦哦～\.\.,아~\.\.,
,例の……,Тот обвал.,就是那个……,거기인가……,
ho01304,ぼくも今朝ニュースで見たよ。,Я читал об этом в новостях сегодня,我今早也看到新闻了。,나도 오늘 아침 뉴스에서 봤어.,
,ちょうど、今日で６周期なんだっけ……,утром. Прошло шесть лет,说是今天正好满6个周期……,오늘로 딱 6주년이라 했던가……,
, ,с момента обвала., , ,
hi0131,崩落事故……\.\.\.ね。,"Обвал...\.\.\.",哦\.…\.…\.坍塌事故。,붕괴 사고……\.\.\. 말이지.,
hi0132,崩落事故……,Всё произошло так быстро...,坍塌事故……,붕괴 사고……,
hi0133,――\.\.\.ジョバンニ、\.生きて。,"Прошу, Джованни… Ты должен жить.",——乔班尼，你要活下去。,"……조반니, 살아남으렴.",
hi0134,…\.…\.…\.…,.\..\..\.,…\.…\.…\.…,…\.…\.…\.…,
hi0135,……\.\.\.あー。\.\.そうそう。\.\.その事件ね。\.\.,"Ооо, теперь вспомнил. ТОТ несчастный",哦——对对对，那件事。,"아, 그렇구나. 그 사건.",
,知ってる知ってる。,"случай. Да, я слышал об этом.",我知道我知道。,잘 알지.,
hi0136,へー。\.\.ストスの平均スコアまで,"Так значит, смерть всех тех людей",嘿，\.\.原来那事还让沙拓斯的,"과연, \.\.스토스의 평균 스코어까지",
,上がってたんだ。\!,в итоге подняла средний балл Граккиса?\!,平均分涨了啊？\!,올렸단 말이지.\!,
,ゴミが一掃されてスッキリ、ってことだな！,"Похоже, мусор сам себя вынес.",社会垃圾统一埋了，确实清爽！,쓰레기를 정리하면서 깨끗해진 셈이네!,
hi0137,ね？　ジョバンニくん。,"Не так ли, Джованни?",你说是吧？乔班尼同学。,그렇지? 조반니.,
hi0137a,お前達だけ生き残っちゃって,"Жаль только, что вы с матерью",可惜啊！还剩下你们俩，,너희만 살아남아서,
,残念だったよな。,"единственные, кто выбрался оттуда.",没一块儿清理干净。,참 안됐어.,
hi0138,……まあ、,"Ох. Но учитывая, в каком состоянии",……虽然嘛，你妈那样，,"……뭐,",
,母親の方は生きてるって,"твоя мать, ""выбралась"" - это тоже",算不算活着就不好说了。,어머니 쪽은 살아있다,
,ほどでもないけど。, "не совсем верно... Она ведь едва жива.", ,볼 수는 없겠지만 말이야.,
hi0139,……\.\.そうだね。,.\..\..\.Ты прав.,……\.\.是啊。,……\.\.그러게.,
hi0140,だから僕は生きなきゃ,Мы выжили. Поэтому я должен,所以我才必须活下去。,그러니 난 계속,
,いけないんだ。,продолжать жить.,,살아가야 해.,
,母さんのかわりに。,Ради мамы.,也算是替我妈妈活她的那一份。,엄마 몫까지 말이야.,
hi0141,……\|何言ってんだ？,…\|О чём ты говоришь?,……\|胡说八道啥呢？,"……\|이봐, 무슨 뚱딴지 같은 소리야?",
hi0142,お前らに生きる価値なんか,Вы с мамкой можете хоть завтра,你们母子俩，,"너희가 살아있을 가치 따위,",
,あるわけないだろ？,"сдохнуть, всем будет насрать.",一开始就没有活下去的价值好吗？,존재할 리 없다는 건 너도 알잖아?,
,最低スコアのくせに。,Ты неудачник с низким баллом.,两个吊车尾，真有脸说啊。,스코어 최하위 주제에.,
, ,Ничтожество., , ,
hi0143,まさか気付いてないわけないだろ？,"Только не говори мне, что ты не понял!",你总不会连这都没弄明白吧？,"설마, 아직도 모르는 건 아니겠지?",
,「人間スコア」は機械仕掛けの神さまがつけた,"Система ""Человеческого Балла"" - это",人类评分，就是伟大的机械救星,인간 스코어는 기계장치의 신이,
,俺たち人間の＂値打ち＂なんだよ。,способ Кареллен определять нашу,给咱们人类的“估值”。,"우리 인간에게 부여한 ""가치""라는 걸.",
, ,индивидуальную ценность., , ,
hi0144,より価値のあるやつは、優遇される。,"Если ты полезен, к тебе лучше относятся.",谁的价值更高，谁就更受优待。,가치를 인정받은 자는 우대받지.,
,そうでもないやつらは……,А если нет? Ну…,至于排名靠后的人嘛……,그렇지 못한 놈은……,
hi0145,……そうでもないやつらは、,"…Если нет, то нет причин",……排名靠后，难道就该死吗？,"……그렇지 못한 자는,",
,死ぬことになる、って？,оставлять тебя в живых…,,"죽어도 싸다, 그거야?",
hi0146,つまり、事故はわざとだっていいたいのか？,"Ты хочешь сказать, что тот",所以你想说什么？那次事故其实是有意的？,"즉, 고의로 저지른 사고라 그거야?",
,カレルレンが僕たちを＂処理＂しようとしたって。,ужасный несчастный случай на самом деле,是卡列伦为了“处理”我们才那么做的？,"우리를 ""처리""할 명분으로 말이야.",
, ,вовсе не был случайностью?, , ,
hi0147,違うって言えるか？,Разве это не имело бы гораздо,你敢说不是？,아닐 것 같아?,
, ,больше смысла?, , ,
hi0148,……, … ,……,……,
hi0149,……\.\.\., … ,……,……,
,さあ。,Я не знаю.,谁知道。,글쎄.,
hi0150,けど……,Но…,但是……,하지만……,
hi0151,だとしても。,"…Даже если это правда,",就算真是那样。,그렇다 해도.,
,僕は生きてる。,Я всё ещё здесь. Живой.,我也还活着。,난 살아갈 거야.,
hi0152,Rの大群に襲われたことも,И меня ни разу не атаковали,也从来没碰到过一大群R忽然冲过来，,아직 대량의 R에게,
,ない。,"враждебные R.",攻击我什么的。,습격받은 적도 없으니까.,
hi0153,値打ちなんかどうでもいいよ。,"Мне насрать на мою ""ценность"".",谁在乎什么估值啊？,"가치니 뭐니, 나와는 상관없어.",
,機械に買われるつもりはないし。,Я отказываюсь быть купленным,我还不想被机器高看一眼呢。,기계에 반발하지도 않을 거야.,
,すぐには殺されもしないようだから。,"какой-то машиной. И я, чёрт возьми,",反正它看样子暂时不会杀我。,당장 살해당하지도 않을 테고.,
, ,не позволю ей убить меня., , ,
hi0154,……, … ,……,……,
hi0155,……\.\.今のところはな。,.\..\..\.Посмотрим.,……\.\.只是暂时而已。,……\.\.지금이야 그렇겠지.,
hi0156,……, …,……,……,
,\C[1]（今のところ、ね……）,"\C[1](""Посмотрим?"")",\C[1]（哈，暂时而已……）,\C[1](지금이라……),
hi0157,はい、私語はそこまで！,"Так, всё, хватит вам обоим!",好啦，课堂上不要闲聊！,"자, 잡담은 거기까지!",
,授業のつづきをするよ。,Нам нужно продолжать урок.,我要继续上课了。,수업을 계속하죠.,
hi0158,砂漠惑星「ストス」の,Пустынная планета Граккис обладает,关于沙漠行星“沙拓斯”的环境……\.\.\.\^,"다음은 사막 행성 ""스토스""의",
,環境について……\.\.\.\^,уникальной средой…\.\.\.\^,,환경에 관해……\.\.\.\^,
hi0159,\C[1]（やっと終わった。,\C[1](Наконец-то это закончилось.,\C[1]（终于结束了。,\C[1](겨우 끝났네.,
,　疲れた……）,Я вымотан…),好累……）,피곤하다……),
hi0160,\C[1]（……ザネリには、ああ言ったけど。,"\C[1](Может, я и пошёл против Занелли…",\C[1]（……虽然课堂上对札内利那么说，,"\C[1](……자넬리에게는 그렇게 말했지만,",
,　実際のところ、僕がどうして生きてるのかは,"Но, если честно, я даже не знаю,",但其实，,"사실 난 왜 살아야 하는지,",
,　わからない）,ради чего я живу теперь.),我也不知道自己为什么还活着）,잘 모르겠어),
hi0161,\C[1]（崩落事故のあと、中層居住区に隠れ住んで,\C[1](После обвала я прятался в Среднем,\C[1]（那之后，我在中层居住区隐姓埋名，,"\C[1](붕괴 사고 이후, 중층 거주구에",
,ハッキング依頼を受けながら暮らしてた僕は,"Районе и выживал, берясь за хакерские",靠着接取黑客委托维生。但有一天，,숨어 해킹 의뢰를 받으며 살던 내게,
,「エーミール」さんって人から連絡を受けた）,"заказы. Так было, пока Эмиль",一个叫埃米尔的人忽然来联系我）,에밀이라는 사람이 연락해 왔어),
, ,не связался со мной.), , ,
hi0162,\C[1]（そして、彼の特別許可で,\C[1](Ему удалось получить особое,\C[1]（在他的特许下，,"\C[1](에밀 씨의 특별 허가를 받아,",
,　この学園に入れてもらえることになった。,"разрешение, чтобы я поступил в эту",我得以进入这所学校读书。为了这件事，,난 이 학교에 들어올 수 있었어.,
,　カレルレンのことは、どうにか説得したそうだ）,"школу. Думаю,он как-то уговорил",他似乎还设法帮我说服了卡列伦）,카렐렌도 어렵게 설득했다던가),
, ,Кареллен.), , ,
hi0163,\C[1]（＂説得＂……カレルレンは,"\C[1](Но кто знает, что убедило её?",\C[1]（“说服”啊……,"\C[1](""설득""이라…… 카렐렌은",
,　事故で生き延びた僕を、,"Что Кареллен думает обо мне, мальчике,",卡列伦对我这个幸存者，,그 사고에서 살아남은 날,
,　どう思ってるんだろう）,который избежал верной смерти?),究竟是什么想法呢？）,어떻게 생각하고 있을까),
hi0164,\C[1]（……\.\.\.もし、本当に……,"\C[1](.\..\..\.А что, если Занелли прав?",\C[1]（……\.\.\.如果，,"\C[1](……\.\.\.만약, 정말……",
,　殺そうとしていたんだとしたら。,"Что, если тот несчастный случай",它真的有意杀我……,죽이려 했던 거라면……,
,　…………）,на самом деле был попыткой Кареллен,…………）,……),
, ,убить всех нас…?), , ,
hi0165,…\.…\.腹、\.減ったな。,…Я очень голоден.,……肚子饿了啊。,……배고프네.,
hi0167,ホログラムの青い光が揺らめいている。,Голограмма отбрасывает мерцающий,全息投影出的蓝光微微摇曳。,홀로그램에서 푸른 빛이 아른거린다.,
, ,синий свет., , ,
hi0168,「授業時間外：談話室モード」,Внеурочное время - Режим Гостиной,“非授课时段：谈话室模式”,수업 시간 이외: 휴게실 모드,
hi0169,「寮内　人間スコアランキング：,"""Рейтинг Человеческих Баллов в Общежитии:",“本宿舍人类评分排行榜：,"""기숙사 내 인간 스코어 득점 순위:",
,　１位：ザネリ,1-е Место: Занелли,第一名：札内利,1위: 자넬리,
,　２位：マルソ…」,"2-е Место: Марсо…""",第二名：玛尔索……”,"2위: 마르소……""",
hi0170,集まって何か話している。,Все тусуются и болтают.,一群人聚在一起讨论着什么。,여럿이 모여 이야기를 나누고 있다.,
,近寄らない方がよさそうだ。,Лучше оставить их одних.,还是离远点比较好。,다가가지 않는 게 좋을 것 같다.,
hi0171,飲料生成洗面機だ。,Это автоматический раздатчик напитков.,这是饮料洁面机。,세면대 겸 음료수 생성기다.,
,蛇口をひねれば、,"Если подставить чашку под носик, он",拧开龙头，,수도꼭지를 틀면 좋아하는 음료를,
,コップに好きな飲み物をいれられる。,наполнит её напитком по вашему выбору.,就能接一杯喜欢的饮料喝。,컵에 담을 수 있다.,
hi0172,たまった水は常に浄化されている。,Вода постоянно фильтруется.,里面总是存有净化过的水。,정화 과정을 거쳐 담아둔 물이다.,
,手や顔を洗うことができるし、,"Её можно использовать, чтобы умыться,",不但能用来洗手、洗脸，,"손과 얼굴을 씻거나, 온도를 올려",
,温度を上げれば鍋になる。便利な設備らしい。,и даже подогреть воду для готовки.,调高温度还能当火锅用，据说非常方便。,냄비 대용으로 쓰는 편리한 설비다.,
hi0173,\C[1]（……まあ、,"\C[1](…По крайней мере, я об этом слышал.",\C[1]（……当然，,"\C[1](……뭐, 지금 내 스코어로는",
,　僕のスコアじゃ使えないけど）,"У меня никогда не было достаточно",我的分数不能用就是了）,사용할 수 없는 물건이지만),
, ,"высокого балла, чтобы им пользоваться.)", , ,
mi0005,飲料生成洗面機だ。,Это автоматический раздатчик напитков.,这是饮料生成洁面机。,세면대 겸 음료수 생성기다.,
,「洗用水」も生成可能らしい。,Он также может производить чистую воду.,好像也可以生成“洗用水”。,세면용 물도 나오는 것 같다.,
ho0174-2,\C[1]（まあ、僕には使えないけど）,"\C[1](Жаль, что у меня нет разрешения",\C[1]（虽然我是不能用啦）,"\C[1](뭐, 내게는 꿈 같은 이야기지만.)",
, ,им пользоваться.), , ,
hi0174,「書籍プリンター」だ。,Это книжный генератор.,这是“书籍打印机”。,책 프린터다.,
,好きな書籍をその場で印刷してくれる。,С его помощью можно распечатывать копии,可以把自己喜欢的书籍打印出来。,좋아하는 책을 즉시 인쇄할 수 있다.,
,本はデータでも読めるけど、これを使う人は多い。,любимых книг. Он очень популярен.,虽然能直接看电子书，但用它的人还挺多的。,데이터로 읽을 수 있음에도 많이 찾는다.,
hi0175,ホログラムの＂教師Ｒ＂だ。,Эта голограмма называется П-R-епод.,这是全息投影的“教师R”。,교사 R 홀로그램이다.,
,授業のほかに、簡単な受け答えもしてくれる。,"Её можно использовать для учёбы,",除了讲课，它也会解答简单的疑问。,수업 외에도 간단한 질문에 답해준다.,
,アバターは自由に設定可能らしい。,ответов на простые вопросы,教师的形象似乎可以自主设置。,아바타는 자유롭게 설정할 수 있다.,
, ,и даже для настройки аватара., , ,
hi0176,授業お疲れさま。,Отлично поработал на сегодняшнем,辛苦了。,"수업, 수고하셨습니다.",
,今日投射した「星図」のデータだよ。,занятии. Это звёздная карта с нашего,这是今天课堂上投影的“星图”的档案。,"오늘 사용한 ""성계 지도"" 데이터입니다.",
,よかったら復習に使ってね！,"урока. Можешь использовать её",你可以用它来复习！,필요하면 복습용으로 사용하세요!,
, ,"для учёбы, если хочешь!", , ,
hi0177,容姿を変更する,Сменить аватар,更改外观,외형을 변경한다,
hi0178,\C[1]（えーと、＂教師Ｒ＂の設定変更……っと。,"\C[1](Так, посмотрим, настройки П-R-епода…",\C[1]（嗯……在这边更改“教师R”的设置……,"\C[1](어디, ""교사 R"" 설정 변경……",
,　アバターのデータバンクには……）,"Проверим, какие у него есть аватары.)",目前，投影数据库里的形象有……）,아바타 데이터 저장소는……),
mi0007,アニメキャラ：デイヴ,Персонаж мультфильма: Дэйв,动画角色：戴维,애니메이션 캐릭터: 데이브,
hi0179,生徒会長：エーミール,Президент студсовета: Эмиль,学生会长：埃米尔,학생회장: 에밀,
hi0180,人気生徒：カムパネルラ,Популярный студент: Кампанелла,高人气学生：康帕聂拉,인기 학생: 캄파넬라,
hi0181,偉人：モーリィ・リース,Известная личность: Молли Райсс,伟人：莫莉·莉斯,위인: 몰리 리스,
hi0182,メイドドール：ケイト,Кукла-горничная: Кейт,女佣娃娃：凯特,메이드 돌: 케이트,
hi0183,教師Ｒのアバターを変更した。,Аватар П-R-епода изменён.,已更改教师R的投影形象。,교사 R 아바타를 변경하였습니다.,
hi0184,何かわからないことはあるかな？,Хотите что-нибудь узнать?,有没有什么不懂的地方呀？,모르는 게 있으신가요?,
,なんでも答えるよ！,"Я здесь, чтобы отвечать на",我什么都能回答哦！,뭐든 대답해 드릴게요!,
, ,ваши вопросы!, , ,
hi0185,何かわからないことはあるか？,"Нужна помощь, друг мой?",怎么啦？有哪块不懂吗？,모르는 거라도 있나?,
,僕が全力で答えるぞ！！,"Если что-нибудь понадобится,",我尽全力给你解答！！,최선을 다해 답해주마!!,
, ,только свистни!, , ,
ho01852,……今はないです。,"Не-а, пока всё в порядке.",……目前没有。,……지금은 괜찮아요.,
,ありがとう。,Спасибо.,谢谢你。,감사합니다.,
hi0186,質問か？,Нужно что-нибудь?,嗯？你有不懂的地方？,질문 있어?,
,いいぞ、なんでも聞いてくれ。,"Давай, спрашивай.",好，可以随便问我。,"좋아, 뭐든 물어 봐.",
hi0187,あら、どうしたのぉ？,"О, божечки! Вам нужна помощь?",哎呀，这是怎么啦？,"어머, 무슨 일이니?",
,うふふ、なんでも聞いてちょうだいねぇ！,"Хи-хи, спрашивайте что угодно! Я не против.",嘻嘻，想问什么都可以！,"우후후, 뭐든지 물어 봐!",
hi0188,ご主人様、何かわからないことはありますかにゃ？,"Хозяин, нужна помогушечка-выручалочка?",主人，您有不明白的地方喵？,"주인님, 모르는 거라도 있는 거냥?",
,ケイトがなんでも答えちゃいますにゃあ♡,"Я с ОГХОМНОЙ ЛУБОВЬЮ поучу вас!",请您放心，凯特会解答您的任何疑问喵♡,이 케이트가 뭐든 대답해 주겠다냥♡,
, ,"Я здесь, чтобы служить!♡", , ,
hi0189,特に何も。,"Нет, спасибо, я в порядке.",没什么。,지금은 괜찮아.,
ho01892,人気の「地球小説」だ。,Очень популярный земной роман.,很受欢迎的“地球小说”。,"인기가 많은 ""지구제 소설""이다.",
,寮内でオススメを回し読みしてるらしい。,В последние дни во всём общежитии,宿舍里好像在互相传阅推荐的几本。,기숙사 내에서 추천이 많은 책이다.,
, ,только о нём и говорят., , ,
ho01893,\C[1]（気になるけど……,"\C[1](Я бы с удовольствием почитал,",\C[1]（虽然我也有点好奇……,\C[1](내용이 궁금하지만……,
,僕が触ったら怒られそうだ）,но кое-кто очень ревностно,但要是敢碰一下，估计就会被骂死）,함부로 건드리면 혼날 거야),
, ,оберегает свои вещи…), , ,
ho0190,通行許可のため、,"Пожалуйста, укажите цель вашего визита,",您提交的外出申请需经过审批，,통행 허가 여부 확인을 위해,
,あなたの目的をお伺いします。,"и мы оценим, уместно ли предоставление",请提供您此行的目的地。,목적을 확인하겠습니다.,
,どちらへ向かわれますか？,"разрешения. Пожалуйста, укажите",您要去哪里？,어디로 가십니까?,
, ,желаемый пункт назначения., , ,
hi0190,食堂,Спросить о столовой,食堂,식당,
hi0191,答えない,Не отвечать,不回答,답하지 않는다,
hi0192,空腹証明が必要です。,Для доступа необходим уровень голода.,您需要证明自身处于饥饿状态。,공복 상태를 증명해야 합니다.,
,体調データをご提出ください。,"Пожалуйста, введите данные сканирования тела.",请上传健康状态数据。,상태 데이터를 제출해 주십시오.,
hi0193,なお、体調データは自室か、,Вы можете выполнить сканирование тела,温馨提示：健康状态可在您的房间，,상태 데이터는 자기 방 또는 휴게실 내,
,談話室の生体スキャン装置で取得可能です。,"либо в своей комнате, либо в холле.",或使用谈话室的生物扫描仪来获取。,생체 스캔 장치에서 얻을 수 있습니다.,
hi0194,\C[1]（体調データ……,"\C[1](Данные сканирования тела, да…?",\C[1]（健康状态……,\C[1](상태 데이터라……,
,　さっき取得したはずだ）,"Хорошо, что я недавно провёл",刚刚扫描过了）,아까 스캔한 데이터가 있었지),
, ,сканирование.), , ,
hi0195,体調データを渡す,Ввести данные сканирования тела,提交健康状态,상태 데이터를 넘긴다,
hi0196,やめておく,Выйти,还是算了,그만둔다,
hi0197,空腹を確認しました。,Уровень голода подтверждён.,已确认您处于饥饿状态。,공복 상태를 확인하였습니다.,
,食堂への通行を許可します。,Разрешение на доступ в столовую,允许您前往食堂。,식당 통행을 허가합니다.,
, ,предоставлено., , ,
hi0198,\C[1]（体調データ……持ってないな。,\C[1](Ох. Мне нужны обновлённые данные.,\C[1]（健康状态的数据……手头没有啊。,\C[1](생체 데이터가…… 없네.,
,　生体スキャン、この部屋でもできるんだっけ？）,Могу просканироваться здесь или,对了，这个房间好像也有生物扫描仪吧？）,여기서 생체 스캔을 할 수 있던가?),
, ,сделать это в своей комнате.), , ,
hi0199,リラックスチェアだ。,Это кресло для отдыха.,休闲躺椅。,안락의자다.,
