翻訳ID,キャラ名翻訳ID,投稿時刻,日本語,英語,中国語（簡体字）,韓国語,備考
,,,来て。,туда добраться.,,타고 이동해라.,
pc419,ジョバンニ,,……？　Wiかな。アカウント違うけど……,Это аккаунт Ви...?,……？是Wi吗？可是账号名称不一样……,……? Wi 맞아? 계정이 다른데……,
pc416,Wi,**:**,暖炉の中に入れ。,Лезь в камин!,你钻到壁炉里去。,난로 안으로 들어가.,
,,,そこから,Оттуда ты сможешь,走那里应该能逃出去。,그러면 도망칠 수,
,,,逃げられるはずだ。,сбежать.,,있을 거야.,
pc420,Wi,**:**,仕事について,Вот краткая сводка.,关于你的工作,유의 사항,
pc421,Wi,**:**,１：,1. Докладывай нам каждый,1：,1.,
,,,侵入先は都度連絡する。,"раз, когда закончишь",随时会通知你骇入目标。,침입 장소는 연락으로,
,,,作業が終わったら,задание по взлому. Эта комната —,完成之后，,전달함. 일이 끝나면,
,,,この部屋まで報告に来い。,место встречи.,要到这间房来报告。,여기 와서 보고할 것.,
pc422,Wi,**:**,２：,2. Ни слова никому,2：,2.,
,,,作業内容は,о своих заданиях.,工作内容严格保密。,다른 멤버에게 내용을,
,,,メンバーにも口外禁止だ。,Это касается и команды!,其他成员也不能告诉。,발설하지 말 것.,
pc423,Wi,**:**,３：,3. Теперь ты наша собственность.,3：,3.,
,,,自分の立場を忘れないこと。,Так что если попытаешься,别忘了自己的立场。,딴 생각 하지 말 것.,
,,,ご主人様に逆らえば,"сорваться с поводка, можешь",敢忤逆主人，,명령을 어기면 즉시,
,,,相棒もろともサヨナラだ。,попрощаться со своим,我送你和你同伴一起归西。,친구와 작별이야.,
,,,,дружком Кампанеллой.,,,
pc424,Wi,**:**,侵入先R-code：,Используй этот R-код:,入侵目标R-code：,침입 장소의 R-code:,
,,,Brave New World - CE21A9A1,О Дивный Новый Мир - CE21A9A1,Brave New World - CE21A9A1,Brave New World - CE21A9A1,
,,, , , , ,
,,,目標データ：,Целевые данные:,目标数据：,목표 데이터:,
,,,DA_OVA_0324_AE1084ver.mov,DA_OVA_0324_AE1084ver.mov,DA_OVA_0324_AE1084ver.mov,DA_OVA_0324_AE1084ver.mov,
pc426,Wi,**:**,終わった。報告に行こう。,Пора доложить на,结束了。去报告吧。,끝났군. 보고하러 가자.,
,,,場所は……メッセージに地図があったな。,месте встречи.,地点在……聊天记录里应该有地图。,장소는… 메시지를 보면 되겠지.,
pc427,ケイト,**:**,なかよくしよーね♡,Будем лучшими друзьями!,咱们做好朋友吧♡,사이좋게 지내자♡,
pc428,ジョバンニ,**:**,ありがとう。,Оу... Спасибо.,谢谢你。,고마워.,
pc429,ドク,**:**,どうだ？,Как дела?,如何？,어떠냐?,
,,,この街には慣れたか？,Осваиваешься понемногу?,待得还习惯吗？,거리는 익숙해졌니?,
pc430,ジョバンニ,**:**,なんとか。,"Ага, потихоньку.",还好。,어느 정도는요.,
pc431,ドク,**:**,身体の調子に異常が,"Если станет нехорошо,",身体一旦出问题，,몸이 불편하면,
,,,あれば、いつでも診てやる。,"просто скажи, и я",马上告诉我。,언제든 말하거라.,
,,,すぐに言え。,могу тебя осмотреть.,随时给你检查。,진찰해 주마.,
pc432,ジョバンニ,**:**,分かりました。,Понял. Спасибо.,好的。,그럴게요.,
pc433,ドク,**:**,お節介が多くて,"Прости, что пристаю к тебе",抱歉啊。,잔소리하는 것 같아,
,,,すまねえな。,"с этим, но ты",我这人比较啰嗦，,미안하구나.,
,,, ,категорически не должен, , ,
,,,けど、,забывать принимать добавки,但容我再说一句。,그렇지만,
,,,ビタミンDサプリの,"витамина D, хорошо?",维生素D补剂，,비타민 D 보충제는,
,,,摂取も忘れるなよ。,Это очень важно.,一定别忘了吃。,꼭 먹어 두거라.,
pc434,ジョバンニ,**:**,ありがとうございます。,"Спасибо, что напомнил.",谢谢你。,감사합니다.,
pc435,ジョバンニ,**:**,よ、よろしく？,"А, эм... Точно.",请、请多关照？,"자, 잘 부탁해.",
hijiki_tsuika01,スプロール・ハイヴ一時チャット,**:**,チ……ッ、Wiのやつ,Информатор «Нулевого Дня»...,啧……Wi那家伙，,"……쳇, Wi 이 자식,",
,,,なんで捕虜なんか……,Ви такая идиотка.,还搞什么俘虏……,어째서 이딴 포로를……,
hijiki_tsuika04,スプロール・ハイヴ一時チャット,**:**,あいつは気難しいかもしれないが……,"Знаешь, Ви может и тупая,",那家伙脾气可能有点怪……,좀 괴팍한 녀석이지만……,
,,,よろしくな,но мы не все плохие.,总之往后多关照了。,잘 부탁해,
hijiki_tsuika06,スプロール・ハイヴ一時チャット,**:**,「打倒モーリィ！」,Долой Молли!,“打倒莫莉！”,몰리를 타도하자!,
hijiki_tsuika07,スプロール・ハイヴ一時チャット,**:**,あ、来てくれたんだー！,"О, ты здесь! Ура!",啊，你也上来啦～！,"앗, 왔네!",
,,,スニファーへの餌やり、,Удачной охоты на металл! ♥,加油给小闻找吃的噢♥,"스니퍼 먹이, 잘 찾아봐♥",
,,,がんばってね♥,,,,
hijiki_tsuika08,スプロール・ハイヴ一時チャット,**:**,全然大丈夫だから！,У тебя получится! Даже,很简单的，不用怕的！,정말 쉬운 일이야!,
,,,バカでもできっから！,полный идиот справится!,就算是傻子都能做到的！,멍청해도 할 수 있어!,
hijiki_tsuika09,スプロール・ハイヴ一時チャット,**:**,え～、でもなぁー,"Э-э, я думаю...",咦～？可是～～,엥… 그치만…,
hijiki_tsuika10,スプロール・ハイヴ一時チャット,**:**,うわ今日の客キモいんだけど,"Фу! Осторожно, извращенец!",哇今天的客人好恶心啊……,"와, 오늘 온 손님, 존나 못생겼어",
hijiki_tsuika11,スプロール・ハイヴ一時チャット,**:**,休めば？,Проваливай...,别接不就完了？,쉬지 그래?,
hijiki_tsuika12,スプロール・ハイヴ一時チャット,**:**,見たい？　私の赤ちゃん……,"Хе-хе, хочешь посмотреть на",想看看我的宝宝吗……？,우리 아기…… 보고 싶어? 후후후,
,,,,мою прелесть?,,,
,,,ふふふ,,嘻嘻嘻……,,
hijiki_tsuika13,スプロール・ハイヴ一時チャット,**:**,あぁ？　なに見てんだよ,"Потеряйся, малой.",看什么看！,"뭘 보는 거야, 앙?",
hijiki_tsuika14,スプロール・ハイヴ一時チャット,**:**,なにー？,А?,什么事呀～？,누구~?,
,,,……チッ、男か,"Не интересно, чувак.",……啧，男的。,"……쳇, 남자냐",
hijiki_tsuika15,スプロール・ハイヴ一時チャット,**:**,……うう……,Уааа...,……呜呜……,으……,
hijiki_tsuika17,スプロール・ハイヴ一時チャット,**:**,ね～今夜泊めてくれん？,Хочешь повеселиться?,嗳～你今晚要不要住下来呀？,"저기, 하루만 재워주지 않을래?",
hijiki_tsuika18,スプロール・ハイヴ一時チャット,**:**,……オエッ,Щас блевану...,……呕！,……우웩,
hijiki_tsuika19,スプロール・ハイヴ一時チャット,**:**,金出さなきゃ彼の,"Надо тратиться, чтобы быть",要是不出钱，,돈이 없으면,
,,,,её номер 1!,,,
,,,いちばんになれない……,,我就成不了他的第一……,1지명을 받을 수 없는데……,
hijiki_tsuika20,スプロール・ハイヴ一時チャット,**:**,今日どうしよっかなぁ,Чем бы мне сегодня заняться?,今天怎么办好呢～,오늘은 뭘 한다…,
hijiki_tsuika21,スプロール・ハイヴ一時チャット,**:**,Wiがアタシに生きる意味を,Ви придала моей жизни смысл.,是Wi给了我活下去的意义,Wi는 내게 삶의 의미를 줬어,
,,,与えてくれたの,,,,
pc459,Wi,**:**,今日の仕事だ。,Сегодняшнее задание.,你今天的活。,오늘 할 일이야.,
,,, ,,,,
,,,侵入先R-code：,Используй этот R-код:,入侵目标R-code：,침입 장소의 R-codes:,
,,,Brave New World CE21A,О Дивный Новый Мир CE21A,Brave New World CE21A,Brave New World CE21A,
,,, , ,,,
,,,目標データ：,,目标数据：,목표 데이터:,
,,,チャットログ：,Целевые данные:,聊天记录：《机械森林3》观影会,메카니컬 포레스트 3,
,,,映画鑑賞会『メカニカル,Механический Лес III,,영화 감상회 채팅 기록,
,,,フォレスト3』,Лог чата показа,,,
pc460,Wi,**:**,今日は忙しいから,"Я завалена работой, так что",今天我很忙，,오늘은 일이 많으니,
,,,報告には来なくていい。,можешь сегодня не отчитываться.,你人就不用来了。,보고는 안 해도 돼.,
,,,データを手に入れたら,"Как только получишь данные,",拿到数据后，,데이터를 손에 넣으면,
,,,ここに送信しろ。,просто отправь их мне сюда.,发过来就行。,여기로 답장을 보내.,
pc461,ジョバンニ,**:**,データ送信,Отправить данные,发送数据,데이터 전달,
pc462,Wi,**:**,チェックした。,Я всё проверила.,我看过了。,확인했어.,
,,,問題なさそうだ。,"По-моему, всё в порядке.",没什么问题。,문제는 없어 보이는군.,
pc500,Wi,**:**,今日はもう自由にしてて,Сегодня можешь делать,今天你没事了，,남은 시간은,
,,,いい。,"всё, что хочешь. Только",自由活动吧。,자유롭게 보내도 좋아.,
,,,ただし、メンバーの機嫌は,никого не беси.,但是记住，,"단, 다른 멤버들 기분을",
,,,損ねるなよ。,Но просто предупреждаю:,别惹成员不高兴。,상하게 만들지 마. 그중에서도,
,,,ユミは喧嘩っ早いからな。,У Юми тяжёлый характер.,由美可是个暴脾气。,유미는 금방 욱하는 성격이니까.,
pc464,ケイト,**:**,ねー　あそぼ！,Мне скучно... Потусим?,嗳～你来陪我玩嘛！,저기~ 놀자!,
,,,部屋までおいでー♡,Приходи ко мне в комнату! ♡,到人家房间来♡,방으로 와~♡,
pc465,,,……繋がるわけないか。,"Я знал, что это бесполнезно...",……果然不可能连上。,……연결될 리 없겠지.,
pc466,,,誰からだ？　このメッセージ……,Кто прислал это сообщение...?,嗯？这消息谁发来的……,대체 누가 보낸 메시지지……?,
pc467,,,地球語……！？　こんなに長いと読めないな……,Всё это выглядит так загадочно... но,地球语……？！这么长看不懂啊……,지구어잖아……?! 이렇게 긴 건 못 읽는데……,
pc468,,,それより、下の絵は何だろう……？　気になるな。,внизу есть изображение.,话说，下面的图画是什么？好在意。,"그건 그렇고, 아래 그림은 뭐지……?",
pc469,,,……くそ、プロテクトが邪魔してくる。,"Чёрт побери, этот брандмауэр...",……可恶。保护机制一直在妨碍我。,"……젠장, 프로텍트에 가로막혔어.",
pc470,◾︎◾︎◾︎,**:**,おい、横着するな。,Эй. Не сачковать.,喂，别耍小聪明。,"이봐, 허튼 짓 하지 마.",
,,,ちゃんと解け。,Взломай эту чёртову хрень.,给我好好解。,똑바로 하라고.,
,,, , ,不过害怕倒是人之常情？, ,
,,,怖いのはわかるけどさ？,Даже если боишься.,可以理解啦。,두려울 만도 하겠지만.,
pc471,,,ずいぶん煽ってくるな、こいつ……,"Блин, да я пытаюсь...",这家伙，还真会用激将法……,"저 녀석, 꽤 신경을 긁네……",
pc472,,,……よし。ここまできたら,"Так, ладно, теперь мне просто нужно",……好了。到了这一步，,"……됐어, 여기까지 진행했으니,",
,,,あとはマウスで信号を整えてやればいい。,направлять поток мышью.,剩下只要用鼠标引导路径就行。,나머지는 마우스로 신호를 정리하면 돼.,
pc473,,,くそ、勝手に閉じた！　繋ぎなおすか……,Чёрт... Нужно переподключиться.,可恶，自己关掉了！重连吧……,"젠장, 접속이 끊겼어! 다시 연결해 볼까……",
hijiki_tsuika22,スプロール・ハイヴ一時チャット,**:**,とりま屋台いかん？,"О, не обращай на него внимания...",话说去不去逛摊？,일단 노점부터 가지 않을래?,
,,,今日のやつアタリらしいよ,Хочешь перекусить?,今天的好像中大奖了。,"오늘 찾은 녀석, 대박이야",
hijiki_tsuika23,スプロール・ハイヴ一時チャット,**:**,近寄ってくんなクソが！,Сгинь с глаз моих!,别过来，离我远点！,"다가오지 마, 쓰레기 자식!",
hijiki_tsuika24,スプロール・ハイヴ一時チャット,**:**,チ……ッ、リーダー,Информатор? Серьёзно?,啧……！首领在想什么？,젠장…… 리더는,
,,,なんで捕虜なんか……,О чём Ви только думала...?,还搞什么俘虏……,어째서 이딴 포로를……,
hijiki_tsuika25,スプロール・ハイヴ一時チャット,**:**,餌やり、がんばれよ。,Удачи с Сниффером.,加油帮忙找食啊。,"먹이, 잘 찾아봐라.",
hijiki_tsuika26,スプロール・ハイヴ一時チャット,**:**,あいつは気難しいかも,"Они кажутся крутыми, но",那家伙脾气可能有点怪……,괴팍해 보여도… 본래,
,,,しれないが……,на самом деле они добрые.,但其实很好相处，很贴心的。,인간을 좋아하는 녀석이지.,
,,,根は人間が好きな,Просто дай им шанс.,你多担待吧。,친하게 지내라.,
,,,優しいやつなんだ。,,,,
,,,よろしくしてやってくれ,,,,
pc474,,,ムーヴェーターって……,"транспортёр...? Тот самый, на котором я",移形升降梯……,공간 엘리베이터라면……,
,,,この街へ来るときに乗ったアレでいいのか？,добрался до этого места?,不知道来时搭的那个行不行。,여기 올 때 탔던 그거 말이야?,
pc475,,,メカニカルフォレスト1　鑑賞会,Механический Лес I: Показ,机械森林1观影会,메카니컬 포레스트 1 감상회,
pc476,,,メカニカルフォレスト2　鑑賞会,Механический Лес II: Показ,机械森林2观影会,메카니컬 포레스트 2 감상회,
pc477,,,メカニカルフォレスト3　鑑賞会,Механический Лес III: Показ,机械森林3观影会,메카니컬 포레스트 3 감상회,
pc489,,,よし、終了だ。,"Теперь, когда я закончил, я могу просто",好，结束了。,"좋아, 끝났어.",
,,,Wiにデータを送るのは……メッセージでいいか。,отправить Ви данные через сообщение.,然后发给Wi……用消息软件就行了吧。,데이터는… Wi에게 메시지로 보내면 된댔지.,
hijiki_tsuika27,スプロール・ハイヴ一時チャット,**:**,だ……だれか……,"Э-э, ребята? Есть кто-нибудь?",有……有没有人……,누…… 누가……,
,,,助けてくれ……,"Помогите, пожалуйста, а?",帮帮我……,도와줘……,
,,,降りられない……,Я застрял...,我下不去了……,내려갈 수 없어……,
hijiki_tsuika28,スプロール・ハイヴ一時チャット,**:**,実は,Я немного перебрал,其实……,실은……,
,,,ダストをやった後、,дури и отрубился.,我之前飞了一点粉。,더스트를 흡입한 뒤의,
,,,記憶がなくて。,"Ни черта не помню,",后来的事就不记得了。,기억이 없어.,
,,,気付いたらあそこに,"но когда очнулся,",等回过神来，,정신을 차렸을 때는,
,,,いたんだ。,оказался вон там наверху.,才发现自己在那上面。,여기 있었어.,
hijiki_tsuika29,スプロール・ハイヴ一時チャット,**:**,助かったよ！,"Ты спас мою задницу, приятель!",你救了我的命啊！,도와 줘서 고마워!,
,,,お礼……お礼……,Дай-ка посмотрю...,等我看看……,답례…… 답례는……,
,,,何かあったかな。,У меня как раз есть кое-что.,能送你点什么……,뭐가 있더라……?,
hijiki_tsuika30,スプロール・ハイヴ一時チャット,**:**,ゼニーでいいや。,"Бабки решают, да?",算了，就给钱吧。,제니면 되겠지.,
,,,どうぞ！,Так что держи!,拿着！,받아!,
,,,また困ってたら,"Выручай, если у меня снова",要是我下次遇到困难，,또 무슨 일이 생기면,
,,,助けてくれよな！,будет бэд трип!,你还要来帮我啊！,도와줘야 해!,
pc490,ケイト,**:**,楽しかった♡,Это было ТАААК весело!,好开心啊♡,즐거웠어♡,
,,,また飛ぼ♡,Давай скоро снова сыграем. ♡,还要一起飞哦♡,또 하자♡,
pc491,ケイト,**:**,だいすき♡,"Привет, детка... ♡",爱死你了♡,정말 좋아해♡,
pc515,,,昨日のこと……思い出せないんだよな。,"Не могу вспомнить, что",昨天发生的事……完全想不起来。,어제 일…… 기억 안 나.,
,,,何があったんだっけ……？,случилось прошлой ночью...,我都干嘛了来着……？,뭘 했더라……?,
pc492,ケイト,**:**,先に出ちゃうけどごめんね\I[7],Прости! Мне пора! \I[7],人家先走了对不起哦\I[7],먼저 가버려서 미안\I[7],
pc493,ケイト,**:**,ホテル、たまに予約,"Просто, чтобы ты знал, отель",房间有时候会被人订满，,"호텔 말인데, 가끔 예약이",
,,,埋まっちゃうことあるから,время от времени бывает,所以你也要注意！,꽉 찰 때도 있으니까,
,,,気をつけて！,забит под завязку!, ,조심해!,
,,, , ,, ,
,,,早めの時間に,Всегда делай,如果需要去住的话，,이른 시간에 미리,
,,,予約するといいよー！,бронь заранее!,最好提早预约呢！,예약하면 괜찮을 거야~!,
pc494,ジョバンニ,**:**,わかった,Понял.,知道了,알았어,
,,,ありがとう,Спасибо.,谢谢你,고마워,
pc495,ラビ,**:**,\I[9],\I[9],\I[9],\I[9],
pc497,Wi,**:**,今日の仕事だ。,Сегодняшнее задание.,你今天的活。,오늘 할 일이야.,
,,, , , , ,
,,,侵入先R-code：,Используй этот R-код:,入侵目标R-code：,침입 장소의 R-code:,
,,,Brave New World - 4309DF18,О Дивный Новый Мир - 4309DF18,Brave New World - 4309DF18,Brave New World - 4309DF18,
,,, , , , ,
,,,目標データ：,Целевые данные:,目标数据：,목표 데이터:,
,,,『デイヴ・アニメ』最新話,Самый новый эпизод «Дэйва».,《戴维动画》系列最新集,데이브 애니메이션 최신화,
pc488,Wi,**:**,手に入れたら私の部屋まで,"Как только получишь данные,",拿到了就来我房间报告。,데이터를 손에 넣으면,
,,,報告に来い。,доложи мне.,,방으로 보고하러 와.,
,,,ここな！　忘れんなよ,Я буду ждать здесь.,我房间在这儿！别忘了啊。,방은 여기니까 잊지 말고!,
pc498,,,さっさと片付けよう。侵入先は……,Время немного повзламывать...,速战速决吧。入侵目标是……,"빨리 끝내자, 침입 장소는……",
pc499,,,お疲れ様でした！,Отлично! Человеческий балл,辛苦了！,수고하셨습니다!,
,,,人間スコアを3加算します。,=+3. Мы будем ожидать твою,您的人类评分提升3点。,인간 스코어를 3 추가하였습니다.,
,,,また、完成品を先行配布いたします。,следующую работу.,此外，您还将收到提前发布的完成版。,또한 완성품을 미리 보내드립니다.,
,,, , , , ,
pc524,,,> Dave_Anime_Ep10246.mov,> Дэйв_Аниме_Серия10246.mov,> Dave_Anime_Ep10246.mov,> Dave_Anime_Ep10246.mov,
hijiki_tsuika31,スプロール・ハイヴ一時チャット,**:**,うーん、もうちょい,Чего-то не хватает.,嗯……,음… 파란색을,
,,,全体に青足してみる？,"Может, чуть больше синего?",要不要再给整体加点蓝色？,조금 섞는 게 어떨까?,
hijiki_tsuika32,スプロール・ハイヴ一時チャット,**:**,いーかんじ！,"О-о, идеально!",不错不错！,괜찮네!,
hijiki_tsuika33,スプロール・ハイヴ一時チャット,**:**,やるじゃん,Обожаю это...,挺厉害嘛。,제법인걸.,
,,,キミうまいね！,Хороша!,你很会画啊！,정말 잘하네!,
hijiki_tsuika34,スプロール・ハイヴ一時チャット,**:**,よかったら,Сможешь сделать мне,你不介意的话，,너만 괜찮다면,
,,,次の「お仕事」の画像、,ещё один как-нибудь?,能不能帮我做一下,"다음 ""작업"" 영상,",
,,,つくってもらってもいー？,Это бы меня так осчастливило!,下次“干活”的图片呀～？,만들어도 돼~?,
hijiki_tsuika35,スプロール・ハイヴ一時チャット,**:**,マジすか,Серьёзно?,找我吗？！,진짜임까?!,
,,,やります！,Ага! В любое время!,当然可以！,하겠슴다!,
hijiki_tsuika36,スプロール・ハイヴ一時チャット,**:**,お〜！！！,ВУУУ!!!,喔～！！！,오오~!!!,
,,,仕事決定おめ〜\I[10]\I[10],ГРАЦ\I[10]\I[10],恭喜啊接活啦〜\I[10]\I[10],작업 결정 ㅊㅋ\I[10]\I[10],
hijiki_tsuika37,スプロール・ハイヴ一時チャット,**:**,ユミさまめっちゃうま\I[11],омг это юмиии \I[11],天啊这由美姐绝美\I[11],"유미 님, 정말 능숙해\I[11]",
,,,尊き…ありがとう,хнннннгх,尊死……感谢上苍,귀한 정보… ㄳ,
,,,助かり\I[12]\I[13],огромное спс \I[12]\I[13],帮大忙了\I[12]\I[13],고마워\I[12]\I[13],
hijiki_tsuika38,スプロール・ハイヴ一時チャット,**:**,リクいい？,плз позволь на тебя подписаться!!!,老师您还接稿不？,리퀘스트해도 돼?,
hijiki_tsuika39,スプロール・ハイヴ一時チャット,**:**,ねえ 君！,"Эй, ты! Блондинчик!",喂，你！就是你。,"저기, 너!",
,,,ちょっとバイト,Хочешь срубить немного,有没有兴趣打个零工？,간단한 알바 한 번,
,,,しない？,бабла по-быстрому?,,해보지 않을래?,
hijiki_tsuika40,スプロール・ハイヴ一時チャット,**:**,この荷物を,Просто отнеси это барахло,帮我把这东西,이 짐을 저기,
,,,あそこで座ってる,"тому чуваку, что сидит",拿给坐在那边的,앉아 있는 남자에게,
,,,男に渡してよ！,вон там.,那个男人就行！,주기만 하면 돼!,
hijiki_tsuika41,スプロール・ハイヴ一時チャット,**:**,よろしく～！,"Спасибо, малой!",拜托啦～！,부탁할게~!,
hijiki_tsuika42,スプロール・ハイヴ一時チャット,**:**,……,...,……,……,
hijiki_tsuika45,スプロール・ハイヴ一時チャット,**:**,は？　何？,А теперь вали отсюда!,啊？干嘛？,뭐? 그럼 왜 말 걸었어?,
,,,ジャマ！,Брысь!,别挡路！,걸리적거리지 마!,
hijiki_tsuika46,スプロール・ハイヴ一時チャット,**:**,お疲れー,Большое спасибо.,辛苦啦～,수고했어~,
hijiki_tsuika47,スプロール・ハイヴ一時チャット,**:**,はい,"Вот, держи.",来,자.,
,,,バイト代,Твоя зарплата.,你的工钱,여기 알바비.,
hijiki_tsuika48,スプロール・ハイヴ一時チャット,**:**,お願いがあるの…,Мне нужна услуга...,我想求你办件事……,부탁이 있는데…,
hijiki_tsuika49,スプロール・ハイヴ一時チャット,**:**,どうしたの？,Какая?,什么事？,왜 그래?,
hijiki_tsuika50,スプロール・ハイヴ一時チャット,**:**,「えらいね」って,"Пожалуйста... Скажи, что я",你可以夸夸我吗？,잘 했어라고,
,,,ほめて？,хорошо справляюсь.,只要说“你很棒”就好。,칭찬해 주지 않을래?,
hijiki_tsuika51,スプロール・ハイヴ一時チャット,**:**,えらいね,Ты... отлично справляешься.,你很棒,잘 했어,
hijiki_tsuika52,スプロール・ハイヴ一時チャット,**:**,あ　あ～,"Ммм, ДААА! ♡",啊  啊～,"아, 아……",
,,,承認,Наконец-то!,被认可了～♡,인정,
,,,きた～♡,Хоть какое-то признание!,,받았다~♡,
hijiki_tsuika53,スプロール・ハイヴ一時チャット,**:**,ありがとう,Спасибо тебе огромное!,谢谢你,고마워,
,,,これで明日の,Теперь я смогу продержаться,这样我明天,덕분에 내일 출근도,
,,,出勤がんばる,этот день...,又能去上班了。,힘낼 수 있겠어,
2ndmisasagi63,スプロール・ハイヴ一時チャット,**:**,久しぶりにクリアが,Никто не проходил,我正想说过了这么久，,정말 오랜만에 완료자가,
,,,出たと思ったら,оооочень давно.,难得有新人通关，,"나왔다고 해서 와 봤더니,",
,,,よりによってお前かよ……,Но ТЫ? Из всех людей?,怎么偏偏是你……,너였나……,
2ndmisasagi64,スプロール・ハイヴ一時チャット,**:**,これはウチの採用試験だ。,После первого теста,这是我们的入队测试。,이건 우리 집단의 채용 시험이야.,
,,,本当は面接に移るんだが、,обычно переходят к,本来接下来要进入面试，,"원래는 면접 절차를 진행하지만,",
,,,お前の場合は……,"этапу собеседования, но",但你的话……,너는……,
,,,報奨金だけやるよ。,"пока что, вот тебе бонус.",就只给奖金了。,포상금만 받도록.,
pc501,,,侵入完了！,Я в деле!,入侵完成！,침입 성공!,
,,,この動画データを探せばいいんだな？,"Так, и где то видео?",只要找到目标视频就行了吧？,이 영상 데이터를 찾으면 되겠지?,
pc502,,,男　43歳,Мужчина - 43 года,男 43岁,남성   43세,
,,,タイレニア,Тиренния,第勒尼亚,타이레니아,
,,,第47居住区　Ｄ棟,"Район 47, Блок D",47号居住区 D栋,제47거주구 D동,
pc503,,,【スコアボーナス行動】,Возможность бонусных очков:,【加分行为】,[추가 스코어 행동],
,,,今月は会話強化月間です。,Этот месяц — Месяц Сообщества!,本月为“对话月”。,이번 달은 대화 강화의 달입니다.,
,,,隣人と積極的に話してみましょう！,Не забудьте пообщаться с соседями!,请多多向你的邻居搭话吧！,이웃과 적극적으로 대화해 봅시다!,
pc504,,,明日〜今週末まで：ご近所会　11:00～18:00,На этой неделе:,明天至本周末：,내일~이번 주말까지:,
,,, ,Ассоциация Соседей: 11:00-18:00 ежедневно,邻里交游会 11:00～18:00,,
,,,来週末：セシル・ミリナ帰省,Следующие выходные: Сесил и Милина возвращаются домой!,下周末：塞西尔、米丽娜返乡,다음 주말: 세실와 미리나가 집에 옴,
,,,いつまで滞在するか聞く,"- Спросить их, надолго ли они вернулись",- 询问两人滞留时长,재류 기간 확인,
,,,ミリナに人間スコアの上げ方指南,- Дать Милине несколько советов по очкам,- 指导米丽娜提升人类评分,미리나에게 인간 스코어 올리는 법 배우기,
,,, ,Конец месяца:, ,,
,,,月末：家族パーティー準備・家の片付け,-Убраться и подготовиться к семейной вечеринке,月末：准备家庭派对、收拾房间,"월말: 가족 파티 준비, 집안 청소",
,,,※リビングを綺麗にしておくこと！,"*УБЕДИСЬ, ЧТОБЫ В ГОСТИНОЙ БЫЛО БЕЗУПРЕЧНО ЧИСТО!",重要：客厅必须打扫干净！,※거실을 깨끗하게 청소할 것!,
pc505,,,ヒント：セシル誕生　YYYYMMDD,Подсказка: День рождения Сесила ГГГГММДД,提示：塞西尔诞生 YYYYMMDD,"힌트: 세실의  생일, YYYYMMDD",
pc506,,,……よし。管理者権限を取得した。,"Так, ладно, у меня есть доступ администратора.",……好。拿到管理员权限了。,……좋아. 관리자 권한을 얻었어.,
,,,これでいつでもロック解除できるな。,Теперь я могу разблокировать это в любое время.,这样一来，就能随时解锁了。,이제 언제든 잠금 장치를 풀 수 있을 거야.,
pc507,,,男　36歳,Мужчина - 36 лет,男 36岁,남성   36세,
,,,ロージキア,Розекия,逻基恰,로지키아,
,,,第27居住区　Ｆ棟,"Район 27, Блок F",27号居住区 F栋,제27거주구 F동,
pc508,,,【スコアボーナス行動】,Возможность бонусных очков:,【加分行为】,[추가 스코어 행동],
,,,映像作品の鑑賞会で、,Поделитесь своими мыслями о фильме,大家一起看电影，,영상 작품 감상회에서,
,,,気付いたことを語り合いましょう。,после показа.,看完交流感想吧。,생각한 것들을 서로 공유해 봅시다.,
pc509,＊,**:**,皆さま、お疲れさまでした！,Браво всем! Вот это были американские горки!,辛苦各位了！,"여러분, 수고하셨습니다!",
,,,……ちょっと、言葉が出ないです。,У меня нет слов...,……我有点不知道怎么评价。,……입이 떨어지지 않네요.,
pc510,＊,**:**,ええ。少し整理する時間が欲しいですね。,"Да, мне тоже нужно время, чтобы собраться с",嗯。我也希望有点时间整理一下。,"네, 조금 정리할 시간이 있어야겠어요.",
,,,特にラスト。予想外過ぎて……,"мыслями, тоже... Я всё ещё под впечатлением",尤其是结局。太出乎意料了……,특히 마지막 장면은 너무 예상 외라……,
,,,,от последней сцены!,,,
pc511,＊,**:**,同感です。ノードの最後の選択は,"Ага, я чувствую то же самое... Финальное",同感。诺德最后的选择，,동감이에요. 노드의 마지막 선택은,
,,,賛否が分かれそうです。,"решение Ноуда разделит фанатов на два лагеря,",感觉评价会两极分化。,호불호가 갈릴 것 같네요.,
,,,わたしは好きですが……,"но лично я считаю, что он сделал правильный",我倒是挺喜欢的……,전 마음에 들었지만요……,
,,,,выбор.,,,
pc512,＊,**:**,そうですね。,"Возможно, это кого-то расстроит,",是啊。,그러게요.,
,,,物語の流れから考えると彼があれを選ぶのは,"но, учитывая сюжетную арку и его",考虑到前面的情节，他会选那个属于必然，,"이야기의 흐름을 생각하면,",
,,,必然なのですが、感情的には……,"персонажа, в глубине души я знаю, что это был",但情感上我还是不太能……,"그 선택은 필연이었지만, 솔직히……",
,,,,единственный способ всё закончить.,,,
pc513,＊,**:**,ですが、その選択がもたらしたフォレストの変化は,"Для меня видеть, как это решение повлияло на",可是他作出那个选择后，,하지만 그 선택으로 변한 포레스트는,
,,,あまりにも壮絶で、美しかった。,"лес, и наблюдать за его ростом было просто",森林的变化又实在太壮观了。,정말 장렬하고 아름다웠어요.,
