翻訳ID,キャラ名翻訳ID,投稿時刻,日本語,英語,中国語（簡体字）,韓国語,備考
,,,割り当てに起因するかもしれません。,high performance is likely a result of both his,成婚的决定。,결과로 추정된다. 아마도 부모의 유전적,
,,,両親の遺伝的素因が極めて優れていた可能性が,superior genetic makeup and the direct,这名学生的双亲，,"소인이 매우 우수했을 가능성이 높다""",
,,,高いでしょう」と分析している。,influence of R. Karellen's judgment. ,很有可能皆拥有极为优秀的遗传基因。,고 분석했다.,
,,, , ,, ,
,,,カムパネルラ氏は以前にも射撃大会で優勝する,But intelligence is not DeMillion's only strength.,康帕聂拉同学还曾于射击大赛中拔得头筹，,캄파넬라는 전에도 사격 대회에서 우승을,
,,,など、知的能力・運動能力の双方で卓越し,He is also a champion marksman who stands out,可见其兼备卓越的智能及体能，,"차지하는 등, 탁월한 지능과 운동 능력으로",
,,,多くの表彰を受けている。,for his remarkable physical prowess. His all-,本人还曾受到其他多项表彰。,많은 상을 받은 바 있다.,
,,,,around excellence begs the question―what will,,,
,,,,he do next?,,,
pc57,NEWSbot,**:**,惑星ストスの1984居住区で,Today marks six years since the devastating,自沙拓斯星1984号居住区,스토스 행성 1984 거주구에서 발생한,
,,,発生した未曾有の災害から、,"collapse which destroyed Grakkis' District 1984,",那场惨绝人寰的灾难发生以来，,미증유의 가스 폭발 재해가 일어난 지,
,,,本日で６周期が経過した。,the largest disaster in the Symbiote's history.,截至今日，已满六周期整。,오늘로 6주년이 되었다.,
,,, , , , ,
,,,当時の居住者のほぼ全員が命を落とし、,The incident killed most of its residents save,事发后，该区几乎所有居民当场死亡，,"사고 당시 거주자 대부분이 목숨을 잃었으며,",
,,,生き残ったのは重体１名、軽傷１名のみと,only two survivors: one critically injured and,仅剩1名幸存者重伤，1名轻伤，,"생존자도 중태 1명, 경상 1명 뿐인 공생체 사상",
,,,共生体史上最悪の崩落事故であるこの惨劇。,another who sustained minor injuries.,可谓是共生体史上最为惨烈的一次坍塌事故。,최악의 붕괴 사고이자 참극이었다.,
,,, , , , ,
,,,激しい爆発により現場は完膚なきまでに,The terrible extent of the damage made it,坍塌引发的剧烈爆炸令现场近乎面目全非，,"격렬한 폭발로 현장은 완전히 잿더미가 되었고,",
,,,破壊されており、共生当局の調査でも,virtually impossible for the authorities to,共生当局虽立即着手对事故原因展开调查，,공생 당국도 조사에 나섰지만,
,,,原因解明には至らなかった。,investigate the cause of the calamity.,最终却未有发现。,끝내 원인은 규명하지 못했다.,
,,, , , , ,
,,,Ｒ・カレルレンは当該居住区の放棄を,R. Karellen deemed the area too dangerous for,R·卡列伦已决定废弃该居住区，,해당 거주구를 포기하겠다는 R-카렐렌의,
,,,決定しており、現場の瓦礫は永久に,entry and ordered a permanent evacuation of,现场的瓦砾恐将永远存留，,"결정에 따라, 이곳은 앞으로도 잔해와 함께",
,,,事故の名残を示し続けるだろう。,the district. Its ruins remain untouched to this,成为此次事故沉痛的见证。,사고의 흔적을 영원히 간직할 것이다.,
,,,,day.,,,
pc58,＊,**:**,この居住区ってなに？,that's crazy… where the heck is this?,这什么啊？,이 거주구가 어딘데?,
,,,事故で全滅ってやばくね？,how did an explosion wipe out the WHOLE,整区人死光也太惨了吧？,"사고로 전원 사망하다니, 위험한 곳 아냐?",
,,,,place???,,,
pc59,＊,**:**,1984区、知ってる,"duh, dont u know district 1984?",1984区，我知道,1984 구역이라면 알지,
,,,いわゆる下層居住区だね,AKA the lower district,就是所谓的下层居住区，贫民窟,소위 말하는 하층 거주구야,
,,,「許可外子」もうろつくようなスラムだよ,it was just a slum for unauthorized birthers,“未许可儿童”满大街乱跑那种,허가 외 아이가 돌아다니는 슬럼가였지,
,,,人間スコア最底辺の奴らが集まってた地域,all the scum with the lowest scores lived,别的也都是人类评分最低档的家伙,"뭐, 인간 스코어가 가장 낮은 놈들이",
,,,まあ、そんなとこだから死人出るのは,"there, so i mean…",哎，这种地方死那么多人也正常吧,모인 동네였으니 누가 죽어도,
,,,仕方ないと思うよ,good riddance i guess??? lmao,,이상할 것 없는 곳이었어,
,,,Ｒすらろくにないらしいから,i heard there were hardly even any Rs there,听说那边连正经的R都没有几台,R조차 제대로 없었던 모양이더라,
,,,施設の管理ずさんだろうしね,"to manage the area, so…that tracks",起因八成就是设备老化啥的,시설물 관리 소홀이 원인이었겠지,
pc60,＊,**:**,許可外子？　こわ…,unauthorized birthers? big yikes,未许可儿童？恐怖……,허가 외 아이라고? 무서워라…,
,,,そういうとこにいるんだ…,tbh i never even knew that was a thing,那种地方居然有啊……,저런 곳에서 잘도 사네……,
pc61,NEWSbot,**:**,学生の間で今、,The newly-developed Partner Affinity Intelligent,近来，,"현재 학생 사이에서 ""배우자 예상 앱""이",
,,,「割り当て相手予想アプリ」が人気だ。,Referral app is gaining popularity among high,学生之间非常流行一款名叫“指派对象预测”的,인기를 얻고 있다.,
,,, ,school students. ,应用。 , ,
,,,個人端末にインストールすると、, , ,개인 단말기에 설치하면 앱이 독자적으로,
,,,独自に収集した統計データから,After installing the PAIR app on your private,只要把它下载到个人终端上，,수집한 통계 데이터를 기반으로,
,,,カレルレンによる結婚割り当て相手の,"terminal, R. Karellen will utilize your personal",它就能根据自己收集的统计数据，,카렐렌이 지정하는 배우자의,
,,,「性格予想」や「容姿予想」が,data to find your most suitable match from a,为使用者生成将来由卡列伦指派的结婚对象的,"성격이나 ""외모"" 예상 결과를",
,,,閲覧可能になる。,pool of eligible partners and display a prediction,“性格预测”和“外貌预测”。,확인할 수 있다.,
,,, ,of your future partner's appearance and,, ,
,,,開発者は「人間スコアはもちろん、,personality., ,"앱 개발자는 ""배우자 예상 결과는",
,,,学業成績や遺伝的要素の他にも、, ,开发者表示，测试结果不仅仅参照人类评分，,인간 스코어를 포함하여 학업 성적이나,
,,,睡眠時間や性的アクティブさなど多様な因子が,"According to the app's developers, ""The",测试者的学习成绩、遗传基因，包括睡眠时间，,"유전적인 요소 외에도 수면 시간,",
,,,割り当て結果に関わっているようです」と,primary factors which impact matches are,甚至性方面的需求都会纳入考量，,"성 개방성 등 다양한 요소를 확인한다""",
,,,コメント。,"human score, educational background, and",综合多方面因素得出最终的预测结果。,는 말과 함께,
,,,「毎日確認することで、目当てのあの人と,genetic compatibility. But even your sleep,,"""매일 확인하다 보면 마음에 둔 사람과",
,,,結婚できるかもしれません」,"patterns and activity level play a part.""",“每天小测一下，审视自我，没准就能梦想成真，,"결혼할 수도 있을 것""이라고 밝혔다.",
,,,,"""If you use the app diligently enough, you",跟你心仪的Ta结婚哦。”,,
,,,,might just be able to land the partner of your,,,
,,,,"dreams!""",,,
pc62,＊,**:**,カムパネルラさまと結婚する方法,okay so how do i marry campanella???,有无人教教怎样能跟康帕聂拉哥哥结婚\I[7],캄파넬라 님과 결혼하려면,
,,,おしえて\I[7],SOMEBODY TELL ME PLSSSS,,어떻게 해야 할지도 알려 주세요\I[7],
pc63,＊,**:**,スコア上げろ,"raise your score, stupid",努力赚分,스코어나 올려,
pc64,＊,**:**,はい,"^^^yeah, that",好的,넹,
pc65,＊,**:**,これやってるけど,"i've been using the app, but…",我玩了这个,써 보긴 했는데,
,,,結局、人間スコアが全てなんだって,score is all that matters.,然后发现测试的尽头还是人类评分,결국 인간 스코어가 시작이자 끝이더라,
,,,わかるよね, score > everything,,,
,,,小細工しても無駄,none of the small stuff really means anything,耍小聪明也没用,별 짓을 다 해봤지만 소용 없었어,
,,,割り当てってそういうこと,that's why they pick your partner for you,指派就是这样的东西,배우자의 기준은 그쪽이니까,
pc66,NEWSbot,**:**,R・カレルレンのコアフレームをハッキングした,New information has come to light regarding the,日前，曾借助黑客手段入侵R·卡列伦核心框架的,R-카렐렌의 코어 프레임을 해킹한 혐의로,
,,,容疑で指名手配中のイエハトブ・スタイラス(36),suspect accused of hacking into R. Karellen's,通缉犯伊哈托夫·斯泰拉斯(36)相关最新情报,현재 수배 중인 예하토브 스타일러스(36)에,
,,,に関して新たな情報が明らかになった。,"mainframe, Ihatov Stylus (36).",判明。,관한 새로운 소식을 입수하였다.,
,,, , ,, ,
,,,イエハトブの攻撃手法について,Cybersecurity analysis revealed that the method,相关单位对伊哈托夫的攻击手法进行解析后发现，,"분석 결과, 예하토브 용의자의 해킹",
,,,解析を行った結果、1500年前に惑星,the suspect used to hack into R. Karellen's,其使用的手法与500年前，法兰提亚星遭受黑客,수법은 500년 전 행성 플로란티아에서,
,,,フローランティアで発生したハッキング事件と,mainframe was identical to technology used,入侵时，罪犯使用的手法一致。,발생한 해킹 사건과 동일한 것으로,
,,,同じ手口が使われていたことを明らかにした。,over 500 years ago during a similar hacking,,밝혀졌다.,
,,, ,incident in Florantia., , ,
,,,イエハトブが古い記録から, ,R·卡列伦目前假定伊哈托夫学习了陈年旧案的,예하토브가 오래된 기록을 사용해,
,,,手法を学んだとして、,Since Stylus was thought to have learned his,犯罪手法，,해당 수법을 익혔다는 것을 파악한,
,,,R・カレルレンは対応する緊急パッチを,"methods from old records, R. Karellen released",已将紧急修复补丁派发给所有相关部门，,R-카렐렌은 관계자에게 이에 대응하는,
,,,関係者に配布。警戒を呼びかけている。,an emergency patch to improve security for,并呼吁各部署提高警惕。,긴급 패치 배포와 함께 주의를 당부하였다.,
,,, ,those involved. The matter is being handled, , ,
,,,共生体管内では、特殊部隊「紅友隊」が,"with extreme caution, and the Symbiote's special",共生体辖内特殊部队“红友队”正追查其行踪。,"공생체 관내 특수부대 ""홍우대""는 지금도",
,,,イエハトブの身柄を追っている。,Research and Enforcement Division (RED) has,,예하토브의 신병을 계속 추적 중이다.,
,,,,been dispatched to track down the suspect.,,,
pc67,ザネリ,**:**,@ジョバンニ,@Giovanni,@乔班尼,@조반니,
,,,ジョバンニパパの記事じゃん！,yoooooo look its your dad,这不就你爸嘛！,"조반니, 네 아빠 나왔다!",
,,,早く逮捕されねーかなー,i hope they catch that asshole soon,能不能请他早点落网啊？,빨리 잡혀야 할텐데~,
pc68,＊,**:**,@ジョバンニ,@Giovanni,＠乔班尼,@조반니,
,,,紅友隊に情報全部吐きに行けよ,You better tell the RED everything you know.,还不去跟红友队坦白从宽！,홍우대에 가서 전부 부는 게 좋을 걸,
,,,何か知ってんだろ？,Unless you're trying to hide something…,别说你不知道你爹在哪,아는 거 있지?,
pc69,NEWSbot,**:**,Ｒ・カレルレンは、銀河学園船内,R. Karellen has implemented an update for the,R·卡列伦宣布将对银河学园舰内配餐系统进行,R-카렐렌이 은하학교선 내,
,,,食事配給システムのアップデートを発表した。,"Gymnasium's culinary system, including",更新。,학식 배급 시스템 업데이트를 발표했다.,
,,, ,advanced menu request functionality. The, , ,
,,,今回強化されたのはメニューのリクエスト機能。,previous version allowed students to choose,本次预定升级的模块，为“自由点单”功能。,"이번 업데이트는 메뉴 요청 기능으로,",
,,,従来は提案されたメニューの中から選択する,"from a set menu, but it is now equipped with a",旧版仅支持使用者选择系统提供的固定选项，,이전에는 제안 메뉴 중에서 선택할 수,
,,,だけだったが、今回のアップデートでは,"generative feature that can create new, original",但在本次更新之后，,"있었지만, 이번 업데이트로",
,,,食べたいものを自由にリクエストできるように,recipes tailored to provide each student with a,就可以自由点选想吃的任何食物了。,먹고 싶은 음식을 자유롭게 요청할 수,
,,,なった。,more pleasant dining experience.,,있게 되었다.,
,,,リクエスト可能な回数は人間スコアに応じて,,“自由点单”功能的可用次数，将根据使用者的,요청 횟수는 인간 스코어를 기준으로 정해진다.,
,,,配分される。また、栄養価や栄養バランスは,The number of meals a student may request is,评分来分配。此外，系统还将适当添加副食，,또한 영양 성분과 영양 밸런스는,
,,,付加食品で適宜調節されるそうだ。,determined by their human score. All meals will,以调节餐食整体的营养价值，确保膳食均衡。,부가 식품으로 적절하게 조절할 예정이다.,
,,, ,be artificially balanced to contain essential, , ,
,,,Ｒ・カレルレンは、今回の変更について,nutrients.,关于此次更新，R·卡列伦表示,R-카렐렌은 이번 변경에 대해,
,,,「各船内の食料資源に余裕ができたため、, ,“鉴于当前各舰粮食资源储备趋于平稳，,"각 선내 식량 자원에 여유가 생겨,",
,,,もっと皆さまに寄り添うことが,R. Karellen has released the following,特做出此次改动，,여러분과 더욱 가까워질 수 있게,
,,,できるようになりました」とのコメント。,"statement: ""Due to a surplus of food supplies",以期更好地满足各位的饮食需求。”,"되었습니다""라고 밝혔다.",
,,,,"throughout the Symbiote, I have enacted this",,,
,,,,change to bring students the freedom and,,,
,,,,"sustenance to fuel their futures.""",,,
pc70,＊,**:**,やったー！！！！,let's GOOOOO,好耶！！！！！！,신난다!!!!,
pc71,＊,**:**,流石カレルレン,based karellen,不愧是卡列伦,역시 카렐렌이야!,
,,,ありがとう！,love you xoxo,谢谢你！,고마워!,
pc72,＊,**:**,私のスコアで,i dunno if my human score will be high enough…,不知道我的分数能用几次……,지금 내 스코어로는,
,,,何回リクエストできるかな……,hope we get some pity meal requests,,몇 번 신청할 수 있으려나……,
pc73,NEWSbot,**:**,本日早朝、,"Early this morning, the special forces unit",本日清晨，,"오늘 새벽,",
,,,特殊部隊「紅友隊」第３基地の管理システムが,RED was attacked by a hacking group known as,特殊部队“红友队”第三基地管理系统,"특수부대 ""홍우대"" 제3기지 관리 시스템이",
,,,「ゼロデイ」を名乗るハッカー集団に,Zero Day. The target of the attack was the,遭到自称“零日”的黑客团伙攻击。,Zero Day라 자칭하는 해커 집단의 공격을,
,,,攻撃された。,maintenance system of RED Base 3., ,받았다.,
,,, , ,, ,
,,,攻撃の内容は、隊員の起床アラーム音を,The attackers hijacked the base's morning,该团伙使用人气动画角色“奶油霜戴维”的声线，,이들은 대원 기상 알람 소리를,
,,,人気キャラクター「デイヴ・クリームマン」の,alarm system to play a loop of the voice of,录制一段称呼队员为“卡列伦走狗”“R的奴隶”,"인기 애니메이션 캐릭터 ""데이브 크림맨""의",
,,,声に置き換えるもの。,"the popular cartoon character, Dave,",等带有侮辱性质的词汇及人身攻击的内容，,"목소리로 바꾸었으며,",
,,,隊員を「カレルレンの犬」や「Ｒの奴隷」と,"repeating inflammatory rhetoric such as ""You",后使用该音频替换了受害队员的起床闹钟铃声，,"대원을 향해 ""카렐렌의 개"", ""R의 노예""라",
,,,呼び、侮辱する内容をリピート再生した。,"are Karellen's slaves!"" and ""Who serves who?""",并强制循环播放。,부르는 등 모욕적인 언행을 반복했다.,
,,, , , , ,
,,,犯行を行ったハッカー集団「ゼロデイ」は,Zero Day is infamous for its radical anti-,过去，该团伙也曾有数次打着“反卡列伦”旗号,"범행을 저지른 ""Zero Day""는 ""반 카렐렌""",
,,,「反カレルレン」を掲げ,"Karellen stance, and the group is thought to",发动网络攻击的前科。,"이라는 구호 아래 모인 집단으로,",
,,,過去にもサイバー攻撃を繰り返している。,have orchestrated numerous cyberattacks in, ,전에도 사이버 공격을 감행한 전력이 있다.,
,,, ,"the past. Moving forward, R. Karellen plans",, ,
,,,R・カレルレンは共生体公的機関の,to strengthen existing cybersecurity measures,鉴于此次事件，R·卡列伦预计逐步加强共生体,R-카렐렌은 공생체 내 각 공기관의,
,,,セキュリティを強化していく予定だ。,in response to this attack.,各官方机构的安保措施。,보안을 강화할 예정이다.,
pc74,エーミール,**:**,このチャンネルでは僕が寮内を,Hello everyone! I'll be using this channel to show,这个频道将由我带大家参观咱们的宿舍！,여기는 내가 직접 기숙사를,
,,,紹介していくぞ！まずは廊下だ！,off our wonderful dorm! First up is the hallway!,第一站是走廊！,소개할 채널이다! 우선 복도다!,
,,,皆が一番行き来する場所だろう！,It's the place you'll be seeing the most!,这是大家平时来往最频繁的地方吧！,학생 모두가 가장 많이 오가는 곳이지!,
pc75,カムパネルラ担,**:**,カムパネルラの割り当て相手って,"guys, if anyone knows, u need to SPILL",话说康帕聂拉的指派对象公布了没啊？,"캄파넬라의 배우자 말인데,",
,,,もう公表されてんの？,have they announced campanella's assigned,,벌써 발표했으려나?,
,,,年齢的にそろそろだよね,"partner yet? he's about the right age, right?",他快到年龄了吧,슬슬 그럴 나이인데 말이야.,
pc76,＊＠ネルさま,**:**,されてない　どんな人なんだろ,not yet. wonder what kinda person it's gonna,还没 不知道是什么人,"아직 발표하지 않았어, 누가 되려나?",
,,,いいなー　私もカムパネルラの,be? maybe i have some hope.,羡慕死了,좋겠다~ 나도 캄파넬라의,
,,,割り当てだったらなあ,i can still dream right???,要是我能指给他就好了,배우자가 되고 싶어~,
,,,この前、割り当て告知きたけど,i got a notification about mine a while ago,之前我的指派结果倒是来了,전에 배우자 고지가 왔는데,
,,,普通の人だったよ…,but he was just some guy… ugh.,但对方……就很普的一个……,평범한 사람이었어…,
pc77,譲）エーミール　求）カムパネルラ,**:**,表彰されたらしいね！,i heard campanella got an award!,他好像受表彰啦！,상 받는 장면 같아!,
,,,画像の顔よすぎ,ugh he looks so hot in that pic,新闻配图是什么阳光美照 我晕了,사진 잘 나왔네,
,,,マジで一生推せる,i have no choice but to stan,真的能推一辈子,평생 밀어줘야지,
pc78,カメラマン・ジョニー,**:**,新作です！！,"CHECK IT OUT, Y'ALL",新作来喽！！,따끈한 새 사진이야!,
pc79,＊,**:**,ジョニーありがとーーーー！！,TYSM JOHNNY!!! U DA BEST,谢谢你乔尼――――！！,"고마워, 조니~!!",
,,,神すぎ…愛してる,omg…i can't even!!!,太神了吧……永爱,짱이야… 사랑스러워,
pc80,＊,**:**,寝起きかわ〜\I[7],awww he's sooo eepy!!,睡不醒的样子好软萌啊～\I[7],잠든 모습 귀여워\I[7],
,,,ありがとうありがとう…,thank you thank you thank you thank you,谢谢……谢谢……,ㄳㄳ……,
pc81,＊,**:**,ネル、いつも寮で一人だよね,anyone ever notice nella's always alone?,我们聂聂在宿舍总是一个人啊,"넬 말이야, 기숙사에서 늘 혼자 있던데",
,,,ルームメイトいないのかな？,…doesn't he have a roommate?,他没有室友吗？,룸메이트가 없나?,
,,,スコア高いから一人部屋とか？？,maybe u get ur own room when ur score is,高分学生都住单人间之类的？？,스코어가 높으니 1인실을 쓰는 게 아닐까??,
,,,,GODLY,,,
pc82,＊,**:**,エミ会長と同室なんじゃなかった？,isn't president emi his roomie??,我记得他不是跟埃米会长同屋吗？,에밀 회장과 같은 방을 쓰는 게 아니었어?,
pc83,＊,**:**,ネルさま、,is it true?? did our nelly-welly's score,听说聂殿分又涨了，,"넬라 님 말인데,",
,,,スコアまた上がったって本当？,go up again???,是真的吗？,스코어가 또 올랐다는 게 사실이야?,
,,,どんどん学内最高スコア記録,how many is this? surely he's broken the school,这个人真的每时每刻都在刷新校纪录……,학교 내 스코어 기록을,
,,,更新してるよね…,"record like, a dozen times already",,점점 경신 중이시네…,
,,,ほんとにやばすぎ…好き…,god the things i'd let that boy do to me….,真的太厉害了……好喜欢……,정말 대단해… 멋져…,
pc84,カムパネルラ,**:**,新作グッズ販売中〜,NEW MERCH DROPPED,新谷上架啦～,신작 상품 판매 중이야~,
,,,よろしくね,thx guys,各位多关照,잘 부탁해,
pc85,リア恋地雷,**:**,！このURLを他のチャンネルに,!!!KEEP THIS URL INSIDE THIS CHANNEL!!!,！以下链接请勿转出！,!이 URL을 다른 채널에,
,,,貼らないでください,DO NOT SHARE THE LINK,,붙여넣지 마시오!,
,,,！荒らしは無視！,!!!DO NOT FEED THE TROLLS!!!,！喷子一律无视！,분탕은 무시함!,
,,,karellen://aimovie.com/watch=dscko!3,karellen://aimovie.com/watch=dscko!3,karellen://aimovie.com/watch=dscko!3,karellen://aimovie.com/watch=dscko!3,
pc242,,,【LIVE】カムパネルラさま,[LIVE] CAMPANELLA CAM,【LIVE】康帕聂拉殿,[LIVE] 캄파넬라 님,
pc243,,,こっち見て～,NOTICE ME SENPAI,看这边～,이쪽을 봐 주세요~,
,,,盗撮定期,he must get so many creepshots taken,今日偷拍,정기 도촬,
,,,この画質でも顔がいい,Not even potato quality makes him less handsome,高糊都挡不住他的美,이 화질로 봐도 멋져,
,,,最高傑作か？？？？？,how is he literally so perfect???????,什么传世名画？？？？？,최고 걸작 아님???,
,,,結婚したすぎる,i wanna marry him so bad plsssss,打扰了，我老公,완전 부부네,
,,,↑は？,^ bruh,↑哈喽？,↑뭐래?,
,,,これにはカレルレンも,inb4 karellen blasts you,卡列伦看了都摇头,카렐렌도 이걸 보면,
,,,苦笑い,lmfao,笑了,어이없겠다,
,,,鏡見てから言ったら？,Maybe look in the mirror first,怎么不拿镜子照照自己,거울이나 보지 그래?,
pc244,,,この画質でも顔がいい,Not even potato quality makes him less handsome,高糊都挡不住他的美,이 화질로 봐도 멋져,
,,,最高傑作か？？？？？,how is he literally so perfect???????,什么传世名画？？？？？,최고 걸작 아님???,
,,,結婚したすぎる,i wanna marry him so bad plsssss,打扰了，我老公,완전 부부네,
,,,↑は？,^ bruh,↑哈喽？,↑뭐래?,
,,,これにはカレルレンも,inb4 karellen blasts you,卡列伦看了都摇头,카렐렌도 이걸 보면,
,,,苦笑い,lmfao,笑了,어이없겠다,
,,,鏡見てから言ったら？,Maybe look in the mirror first,怎么不拿镜子照照自己,거울이나 보지 그래?,
,,,配信見ながらごはん,This stream is my lil,看着他的脸我能下三碗饭,방송을 보며,
,,,食べてます！,treat during dinner,电子榨菜了,식사 중이야!,
pc245,,,これにはカレルレンも,inb4 karellen blasts you,卡列伦看了都摇头,카렐렌도 이걸 보면,
,,,苦笑い,lmfao,笑了,어이없겠다,
,,,鏡見てから言ったら？,Maybe look in the mirror first,怎么不拿镜子照照自己,거울이나 보지 그래?,
,,,配信見ながらごはん,This stream is my lil,看着他的脸我能下三碗饭,방송을 보며,
,,,食べてます！,treat during dinner,电子榨菜了,식사 중이야!,
,,,カムパネルラさまが,whenever i feel down i remind myself,想想康殿这样的人,캄파넬라 님이 나와,
,,,自分と同じ銀河に存在,of the fact that i was born in the,跟本人活在同一个银河,같은 은하에 존재하는,
,,,してる事実だけが生き,same galaxy and era as Campanella…,刹那间仿佛人生又有了,사실이 내게는 유일한,
,,,る希望・・・・,maybe god is real,希望……,희망이야……,
pc246,,,カムパネルラさまが,whenever i feel down i remind myself,想想康殿这样的人,캄파넬라 님이 나와,
,,,自分と同じ銀河に存在,of the fact that i was born in the,跟本人活在同一个银河,같은 은하에 존재하는,
,,,してる事実だけが生き,same galaxy and era as Campanella…,刹那间仿佛人生又有了,사실이 내게는 유일한,
,,,る希望・・・・,maybe god is real,希望……,희망이야……,
,,,！！！！！！！？,???!?!?!??!!?,！！！！！！！？,!!!!!!?,
,,,は？？？？？,HOL UP,哈？？？？？,응?????,
,,,こっちみた！！！れ,OMG HE LOOEKD AT US,刚刚他看过来了！！！1,이쪽을 보셨어!!!엉,
,,,まっっって,WAITTTTTTTTTTTT,不是？？等下,잠까아아안,
,,,まって,OMFG HELP,等？？？,잠깐만,
pc247,,,！！！！！！！？,???!?!?!??!!?,！！！！！！！？,!!!!!!?,
,,,は？？？？？,HOL UP,哈？？？？？,응?????,
,,,こっちみた！！！れ,OMG HE LOOEKD AT US,刚刚他看过来了！！！1,이쪽을 보셨어!!!엉,
,,,まって,OMFG HELP,等？？？,잠깐만,
,,,まっっって,WAITTTTTTTTTTTT,不是？？等下,잠까아아안,
,,,聲（こえ）出た,IM LITERALLY SCREAMING,大声鸡叫,목소리 나왔어,
,,,むりすぎ,screaming crying throwing up,我不行了,더는 못 버텨,
,,,あ,omg,啊,아,
,,,＋死＋,IM DEAD BYE,＋安详去世＋,+주금+,
pc248,,,こっちみた！！！れ,OMG HE LOOEKD AT US,刚刚他看过来了！！！1,이쪽을 보셨어!!!잠,
,,,まって,OMFG HELP,等？？？,잠깐만,
,,,まっっって,WAITTTTTTTTTTTT,不是？？等下,잠까아아안,
,,,聲（こえ）出た,IM LITERALLY SCREAMING,大声鸡叫,목소리 나왔어,
,,,むりすぎ,screaming crying throwing up,我不行了,더는 못 버텨,
,,,あ,omg,啊,아,
,,,＋死＋,IM DEAD BYE,＋安详去世＋,+주금+,
,,,突然のファンサは心臓,IMO GONNA UFCKING DUI E,哎唷不要忽然饭撒好吗,갑자기 서비스를 날리다니,
,,,止まるから待って？？,PLEASEEE IM GONNA HAVE A HEART ATTAKc,心脏受不了啊？？,심장 멎을 것 같거든??,
pc249,,,まって,OMFG HELP,等？？？,잠깐만,
,,,まっっって,WAITTTTTTTTTTTT,不是？？等下,잠까아아안,
,,,聲（こえ）出た,IM LITERALLY SCREAMING,大声鸡叫,목소리 나왔어,
,,,むりすぎ,screaming crying throwing up,我不行了,더는 못 버텨,
,,,あ,omg,啊,아,
,,,＋死＋,IM DEAD BYE,＋安详去世＋,+주금+,
,,,突然のファンサは心臓,IMO GONNA UFCKING DUI E,哎唷不要忽然饭撒好吗,갑자기 서비스를 날리다니,
,,,止まるから待って？？,PLEASEEE IM GONNA HAVE A HEART ATTAKc,心脏受不了啊？？,심장 멎을 것 같거든??,
,,,たすけて,HELPPPPP,救,살려줘,
pc250,,,顔がいい・・・,He's so hot…,好完美一张脸….,잘 생겼어……,
,,,こんなん銀河級だろ,He shines brighter than a galaxy,全银河都美哭了,이게 은하급 외모지,
,,,マジですき,i love them sm,爱死了真的,짱 좋아,
,,,ああ～～～～～～～～,UOOOUUGGHHHHGH,啊～～～～～～～～～,아아~~~~~~,
,,,推しと推しが会話してる,my two babygirls are interactingggg,我推在和我推说话,최애끼리 대화 중이네,
,,,すきすきすきすき,I LOVE YOU GUYS UGGGGHHHH,好萌好萌好萌好萌,좋다 좋아 짱 좋다,
,,,配信者さんいつもありが,THE STREAMER DOES SO MUCH FOR US,主播我每天吊命就靠你,스트리머 님,
,,,とうございます！！！！,I OWE YOU MY LIFE,了！！！！！,늘 고마워요!!!!,
pc251,,,マジですき,i love them sm,爱死了真的,짱 좋아,
,,,ああ～～～～～～～～,UOOOUUGGHHHHGH,啊～～～～～～～～～,아아~~~~~~,
,,,推しと推しが会話してる,my two babygirls are interactingggg,我推在和我推说话,최애끼리 대화 중이네,
,,,すきすきすきすき,I LOVE YOU GUYS UGGGGHHHH,好萌好萌好萌好萌,좋다 좋아 짱 좋다,
,,,配信者さんいつもありが,THE STREAMER DOES SO MUCH FOR US,主播我每天吊命就靠你,스트리머 님,
,,,とうございます！！！！,I OWE YOU MY LIFE,了！！！！！,늘 고마워요!!!!,
,,,エーミール会長のこと,GIVE EMILE MORE SCREEN TIME PLEEEAAASE,多拍点埃米尔会长啊！,에밀 회장님 좀,
,,,もっとうつして！！！！,IM BEGGING U,！！！,더 보여줘!!!!,
pc252,,,エーミール会長のこと,GIVE EMILE MORE SCREEN TIME PLEEEAAASE,多拍点埃米尔会长啊！,에밀 회장님 좀,
,,,もっとうつして！！！！,IM BEGGING U,！！！,더 보여줘!!!!,
,,,↑配信タイトル見な？,^ literally read the stream title,↑标题不会看？,↑방송 제목 안 보여?,
,,,最高～～～～,omgggggggggg i can die happy now,绝美～～～～,최고다~~~~,
,,,いっぱいちゅき。。,i love them so much waaahhh,爱死了。。,짱 조하……,
,,,顔が強い,why so hot UGH,最强颜值,너무 귀여워,
,,,顔がいい・・・,i could stare at them forever,好完美一张脸….,잘 생겼다……,
,,,こんなん銀河級だろ,He shines brighter than a galaxy,全银河都美哭了,이게 은하급 외모지,
,,,マジですき,i love them sm,爱死了真的,짱 좋아,
pc86,ジョバンニ,,……？,…?,……？,……?,
pc87,ジョバンニ,,ファンサービスってやつか？,This is total fanservice.,刚才那是所谓的粉丝福利吗？,저게 팬 서비스인가?,
,,,人気者は大変だな。,Celebrities have it so tough.,大红人还真辛苦。,인기가 많아도 큰일이네.,
pc88,＊＠カムエミシンメ,**:**,また生徒会長とツーショで写ってる〜〜,THEYRE IN THE SAME FRAME HUFF HUFF,又跟学生会长双人出镜～～,학생회장과 또 같이 나왔어~~,
,,,この２人ほんと仲良いよね,aww theyre such good friends. theyre,他俩关系真的好好,"저 두 사람, 정말 사이 좋은걸",
,,,,roommates right?,,,
